year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,62.560668418655354,250,11.557960584976932,250,32.0,250,0.0020936959950223254,250,3.1722433584370187,648
2012,1,1,60.667174409748668,195,10.905992923273894,195,32.0,195,0.0025296750340533178,195,3.0265428614029446,442
2012,1,2,65.266473149492015,107,8.8255954653538122,107,34.0,107,0.0033858105588852345,106,3.045623358003299,300
2012,1,3,72.304693545458875,96,9.5345363506750296,96,33.0,96,0.0027724237636660349,96,3.0469354697383682,226
2012,1,4,60.543087539403864,68,10.227314554278809,68,32.0,68,0.0022701907032493815,68,3.0426219808860937,149
2012,1,5,74.339684717372648,56,12.282670984300276,56,32.5,56,0.0021338868762080803,56,3.2111791227422133,140
2012,1,6,59.321917317475105,51,9.6992542345869008,51,33.0,51,0.0012989824637367395,51,3.253418315177933,135
2012,1,7,54.829822167551271,58,10.166540283942838,58,30.0,58,0.002278449254067959,58,3.1673721905512711,152
2012,1,8,55.040754257907544,73,12.692487351366077,73,32.0,73,0.0017585349584621915,73,3.2525655043229449,250
2012,1,9,55.344834414026273,108,11.226464755382221,108,30.5,108,0.0023242841204908888,107,3.1741258498098563,284
2012,1,10,63.080951399386194,138,11.050036042848621,138,32.0,138,0.0020575789974613839,138,3.2334319269155589,354
2012,1,11,59.487801086303378,178,10.809980349974555,178,33.0,178,0.0022205339457745639,176,3.2290168684871281,444
2012,1,12,63.984171787335498,218,10.767816562311545,218,33.5,218,0.0026730249772534197,218,3.1682706870902617,509
2012,1,13,65.304317548746525,211,10.181819769141658,211,33.0,211,0.0023255813953488372,211,3.1509376372985978,490
2012,1,14,61.680431083380604,211,9.5597698928822243,211,32.0,211,0.0021894904458598726,209,3.2086803385857969,586
2012,1,15,60.266081382385735,242,10.738735888247465,242,32.0,242,0.0016689165152035316,240,3.2276388118093156,606
2012,1,16,71.126270136307312,270,9.6792052816026555,270,33.0,270,0.0019896008936272636,270,3.15391333926669,617
2012,1,17,62.727412862570105,320,9.4645901014347871,320,32.0,320,0.0028933721788499318,316,3.2146043159200302,788
2012,1,18,65.033057851239676,319,9.3290506319706292,319,32.0,319,0.002506746128539683,318,3.2120218012622468,783
2012,1,19,66.380858895705515,375,10.749968783430754,375,33.0,375,0.0021222410865874364,375,3.1708565161036057,909
2012,1,20,77.32438112784024,380,8.7448178774281367,380,36.0,380,0.0028089887640449437,379,3.0862542597866329,865
2012,1,21,82.728830951657045,360,7.1719998700487029,360,38.0,360,0.0026551764689535223,358,3.0559582013114843,885
2012,1,22,79.07700621453661,357,8.9482675297403063,357,37.0,357,0.0024804663276696017,357,3.0583588384944465,896
