year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,12,17,35.607264550893461,76,21.96780966294256,76,15.0,76,0.00070736602643099375,76,6.9490332456375956,98
2014,12,18,36.371292372881356,71,19.131917709505661,71,16.0,71,0.00053026594876815142,71,5.0435880299126179,98
2014,12,19,39.036941340458739,66,17.483719627182914,66,16.5,66,0.00066966727162842915,66,4.7977254600271682,96
2014,12,20,46.062456482301073,70,22.439287333585085,70,19.0,70,0.00060829740847793707,70,4.6296947384151395,107
2014,12,21,40.960027567195041,61,20.487298757792161,61,18.0,61,0.00075574365175332526,61,4.6503231104358278,81
2014,12,22,40.435964502568893,57,17.207996924560614,57,17.0,57,0.00073754082815298701,57,5.3301322765111605,85
2014,12,23,53.842651732361531,50,21.311563109348551,50,19.5,50,0.00063258612096983319,50,4.626459332815136,75
2014,12,24,47.837465564738295,71,24.159503230429191,71,18.0,71,0.00085276778762374405,71,4.8274990500395649,91
2014,12,25,43.480400890868594,89,17.98611895914576,89,17.0,89,0.00045330915684496827,89,4.6449298441136797,113
2014,12,26,48.223556317895941,93,19.237191756516239,93,17.0,93,0.00056947608200455578,93,4.9083881719160072,138
2014,12,27,46.099224497912111,73,20.102209438591924,73,17.0,73,0.00080166746833413498,73,4.7431279876725663,96
2014,12,28,41.876801152737755,87,16.663354635316772,87,18.0,87,0.00044156608772446274,87,4.9385439184576727,120
2014,12,29,36.914063791181547,78,18.39500353204043,78,16.0,78,0.00061235950370272464,78,4.5998652126863782,108
2014,12,30,43.765339074273413,65,19.222586496047992,65,17.0,65,0.00052882072977260709,65,4.8779049909683208,101
2014,12,31,48.865546175493193,30,18.93779395842212,30,19.0,30,0.00070911002941379019,30,4.6553003272508233,53
