year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,33.316081697402339,77,10.49076358536694,77,21.0,77,0.0010995052226498076,77,3.2435525849082141,105
2012,1,1,33.037729457483252,56,16.102054706917201,56,20.0,56,0.00057592367307971923,56,3.2394775195711993,73
2012,1,2,40.321913238508927,46,12.319812258731334,46,22.0,46,0.00083000934087048314,46,2.3017921135015813,63
2012,1,3,31.372181060015372,26,18.49412413593436,26,20.0,26,0.0012632966040102482,26,3.2311439009885703,36
2012,1,4,35.694104387046409,18,15.160302475137797,18,23.0,18,0.0011575158637418302,18,3.2059871413481313,36
2012,1,5,41.395000000000003,29,18.170955388653798,29,21.0,29,0.0014008161276569827,29,3.2104551910269916,45
2012,1,6,29.649465364946536,19,21.318829124245237,19,19.0,19,0.00030770808759423559,19,2.3789365369936859,31
2012,1,7,36.3205574912892,33,16.213930213815765,33,22.0,33,0.00078085526617978048,33,2.661912343052439,50
2012,1,8,33.236547186344794,34,13.104510853047394,34,20.5,34,0.00053402494282879021,34,3.2281701985364433,48
2012,1,9,34.531936127744508,57,8.8929161819628977,57,20.0,57,0.002014098690835851,57,2.997398726614743,71
2012,1,10,32.883417085427133,55,10.407563079025525,55,20.0,55,0.0010415310506444472,55,3.1645459927748076,65
2012,1,11,33.929892891918207,79,10.79889267315041,79,22.0,79,0.00090194562556371598,79,3.2072636439729507,96
2012,1,12,40.099693157678487,62,8.486163443072483,62,21.5,62,0.001751245734499103,62,3.2463367863983157,97
2012,1,13,36.125847883894338,62,8.8383190022901577,62,21.0,62,0.001677765608314546,62,2.4676267621540759,88
2012,1,14,35.066714490674322,87,7.8475843809149568,87,20.0,87,0.0012722646310432571,87,2.9273574065875341,102
2012,1,15,33.339072847682118,97,7.6569318814605456,97,20.0,97,0.001984126984126984,97,3.1654231690230885,116
2012,1,16,33.725078229772016,77,7.2397073868393917,77,21.0,77,0.0019272191361523637,77,3.0541951380627168,95
2012,1,17,36.677358277985277,96,6.9424765912006805,96,21.0,96,0.0015851249512745641,96,3.2085486554065024,107
2012,1,18,39.565433864785291,112,6.1299664526024831,112,22.0,112,0.0022237421923138418,112,3.2363097331823032,127
2012,1,19,44.018965517241377,153,4.9084537643983754,153,23.0,153,0.0023300148273670833,153,3.2430433222094099,169
2012,1,20,41.035351089588374,145,4.5121461366925022,145,22.0,145,0.0030911901081916537,145,3.2073666590645988,154
2012,1,21,41.150137741046834,130,4.8553125901913932,130,22.0,130,0.0030504532416662472,130,2.8833901921272944,151
2012,1,22,39.699732948449793,118,6.3479441726089298,118,22.0,118,0.0020553364557275673,118,2.8620623710481454,143
2012,1,23,39.665006226650064,79,8.0276663269803148,79,22.0,79,0.0020915354330708663,79,3.0446955471641828,93
2012,2,0,39.758349642567993,48,15.147210440719441,48,21.5,48,0.00068055402254711293,48,3.4038314918388819,67
2012,2,1,36.829187417489166,42,17.042224123411557,42,19.0,42,0.00082810727972340884,42,2.980211125262219,60
2012,2,2,37.713957241985568,36,16.08229408263605,36,21.0,36,0.00084633242577707125,36,3.2394585855251403,56
2012,2,3,36.005112329830865,30,15.461312953439439,30,20.5,30,0.00073232973065705947,30,3.2097780783761198,47
2012,2,4,34.892156862745097,11,20.537748937571259,11,19.0,11,0.00099676052828308001,11,2.6751796853310572,24
2012,2,5,42.681226765799259,31,15.100162149749879,31,22.0,31,0.00094351440500163889,30,2.6475094378703172,52
2012,2,6,37.855739400206822,37,20.510910679758783,37,20.0,37,0.00074274497320812774,37,2.7693098341933489,60
2012,2,7,33.893827285714792,16,18.444742319787494,16,18.5,16,0.00079617518556777793,16,1.9828544579059635,30
2012,2,8,37.799738219895289,51,12.56246821177384,51,21.0,51,0.00093888699214749057,51,3.1930857871736293,68
2012,2,9,34.466162788026374,46,12.526566770342278,46,21.0,46,0.0011237838889886845,46,3.260308254264296,64
2012,2,10,37.921819931367097,46,10.257172997479161,46,22.5,46,0.00082228944588495149,46,2.881137534083472,63
2012,2,11,33.937404580152673,61,12.224589701965858,61,21.0,61,0.0010744435917114351,61,3.2406923880002139,76
2012,2,12,34.890231621349443,91,10.732843692676143,91,20.0,91,0.0010305592068633384,90,3.0828045166821991,117
2012,2,13,34.522831050228312,73,11.126116650638993,73,20.0,73,0.00091743119266055051,73,3.4057637529596407,96
