year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,56.456268221574341,477,12.013917684825328,477,22.0,477,0.0016174998074404991,477,3.132682700917206,982
2012,1,2,51.600115652679847,496,11.123248553833351,496,21.0,496,0.0014688077229030997,496,3.2252481396786967,1124
2012,1,3,37.026934587430524,735,18.009402653269966,736,15.0,735,0.00030494777769307006,735,3.7808054618966871,1399
2012,1,4,32.054991983791311,720,21.894550699841371,720,14.0,720,0.00022955077071986772,720,4.3024751991872918,1702
2012,1,5,53.519998321584424,354,10.446343489287077,354,22.0,354,0.0018153879615259872,354,3.1743487977603237,848
2012,1,6,53.016363211951443,358,12.768580193947731,359,23.0,358,0.0014786774708700537,359,3.2196436312597401,807
2012,1,7,54.289565291220924,404,12.156747991934388,404,21.0,404,0.0018523482263251723,404,3.2493283826990189,941
2012,1,8,50.991543060698106,406,12.671361415925523,406,21.0,406,0.0015474454703128999,406,3.2531460409800523,990
2012,1,9,49.810429880197319,363,12.878475500514325,363,21.0,363,0.001652892561983471,363,3.2525297534822526,889
2012,1,10,48.448495575221237,391,13.065637530571792,391,21.0,391,0.0016062106813010306,391,3.2063046332789229,813
2012,1,11,53.340555555555554,333,11.954550060589691,333,21.0,333,0.0017917752391269502,332,3.0911955014958745,742
2012,1,12,55.798267149051021,384,11.360889094906751,384,22.0,384,0.0019066395507574779,384,3.2076535153227388,869
2012,1,13,53.549413735343386,385,13.467937739127841,385,21.0,385,0.001456876456876457,385,3.2057365838297827,841
2012,1,14,50.765574957836037,422,13.291975938588202,422,22.0,422,0.0013583585805381324,422,3.211275430133484,963
2012,1,15,52.069295304037823,476,12.172663569063243,476,22.0,476,0.0016555386088966159,476,3.1495955289569766,1121
2012,1,16,54.269337016574589,441,13.282671127862651,441,21.0,441,0.0015395761637384531,441,3.2166247931255185,989
2012,1,17,54.774429340856628,351,12.907846408403081,351,22.0,351,0.0018702270247805081,351,3.1169441187195801,814
2012,1,18,54.568632680129006,320,12.562400298640576,320,21.0,320,0.0013555831228595921,320,3.2129528535257839,767
2012,1,19,49.338077277082022,312,13.848059362690879,312,21.0,312,0.0011789259479849119,312,3.2126678801304691,856
2012,1,20,52.505994907484791,346,12.486774871694376,346,22.0,346,0.0015264392557545769,346,3.2465214282259245,804
2012,1,21,56.078056156963179,510,12.813612804930695,510,22.0,510,0.0014440970333109201,510,3.2116592860237096,1086
2012,1,22,55.015789473684208,403,11.412313478944057,403,23.0,403,0.0014845605700712589,403,3.1728631287334164,933
2012,1,23,50.379494655004862,380,13.158360044017021,380,21.0,380,0.0017511047797924297,380,3.1883761174946228,879
2012,1,24,49.428917637834559,354,14.441300124637113,354,21.0,354,0.0012534117776072389,354,3.237755884500662,888
2012,1,25,48.061412473549375,404,14.138234717998767,404,21.0,404,0.0012102557457888783,404,3.2149099691164129,997
2012,1,26,54.642157835937631,362,12.531119315791738,362,21.0,362,0.0016925762037106472,362,3.2378211713755078,884
2012,1,27,52.486567164179107,355,13.37882433402596,355,22.0,355,0.0013102725366876311,353,3.2444953851359983,862
2012,1,28,55.180278884462155,427,12.355899867587777,428,22.0,427,0.0016038730158292687,428,3.2285916610194931,973
2012,1,29,50.329418045915645,513,12.158439228679685,513,22.0,513,0.0014698253501642747,513,3.1916005494034838,1084
2012,1,30,55.377796901893291,351,12.629750058049551,351,21.0,351,0.0018709073900841909,351,3.1693609563997445,810
2012,1,31,51.856830122591944,325,13.935699936339024,325,22.0,325,0.001748401020655971,324,3.2147377996712221,746
2012,2,1,49.982897862232782,329,13.987600060247599,329,21.0,329,0.0015403360564976926,328,3.2455998038305109,770
2012,2,2,53.189316575019639,351,11.527216232586191,351,21.0,351,0.0019264967397747482,349,3.203107386971876,798
2012,2,3,53.380657814109227,346,11.963706773020016,346,21.0,346,0.001585982931802734,345,3.2420208213890649,763
2012,2,4,49.659048190918895,510,14.124285699057435,510,20.0,510,0.0012769136611793586,510,3.1907980220616206,1119
2012,2,5,51.38671875,431,12.472454540206776,431,21.0,431,0.001438186734165564,431,3.2139477424106109,975
2012,2,6,55.401687741165702,348,13.862808535845282,348,21.0,348,0.0014824797843665768,347,3.1715534886924353,826
2012,2,7,53.022717108353561,408,10.922951066438891,408,20.5,408,0.0013986432519900525,408,3.1744737032301895,917
2012,2,8,51.331434786424097,462,11.313410046566041,462,22.0,462,0.0018474915829808187,462,3.1635874071358416,996
2012,2,9,49.931647940074903,481,11.87700912207346,481,21.0,481,0.0014415728824252825,480,3.1724264820133241,1060
2012,2,10,50.072094336549775,368,13.498072587538195,368,23.0,368,0.0012574144200308602,368,3.2033095717025755,887
2012,2,11,52.317337461300312,521,12.726051842795126,521,21.0,521,0.0012979760654553978,518,3.2103377325297919,1132
2012,2,12,53.836086404066073,519,11.407499509142299,519,22.0,519,0.0016137708445400753,519,3.1736997036386239,1213
2012,2,13,51.327885878692356,440,13.309131907907599,440,22.0,440,0.0012545265737258279,440,3.1670363820252194,911
2012,2,14,51.136923076923075,367,13.390978213260338,367,21.0,367,0.0015573922840640517,366,3.132369888136278,803
2012,2,15,54.268729281767953,375,12.779888228143509,375,20.0,375,0.0017981879798049658,375,3.2092942825215567,884
2012,2,16,49.481966321143389,418,13.015292462332409,419,21.0,418,0.001554264089741857,419,3.0931142076681928,977
2012,2,17,48.388303492303265,420,12.127780797251926,420,20.0,420,0.0012450346831090295,417,3.2421098122479668,934
2012,2,18,43.405461388089051,550,11.565642127106683,550,19.0,550,0.0011139401654996818,549,3.2319810592338118,1216
2012,2,19,48.814855886206253,564,11.285796779709589,564,20.0,564,0.0014450987762602849,564,3.1949304129287635,1216
2012,2,20,52.969426712992885,474,13.788279386733191,474,20.0,474,0.001434166252964863,471,3.2451772996913029,1071
2012,2,21,52.216000000000001,441,11.633778817200415,441,21.0,441,0.0017355531272096162,439,3.2124857868505821,1026
2012,2,22,53.967857766047942,384,13.422459887820814,384,21.0,384,0.0010469044885427143,384,3.2078914835768448,980
2012,2,23,49.474088291746639,435,12.813825068242158,435,21.0,435,0.0013656538067599864,435,3.2111485698810061,956
2012,2,24,53.721810089020771,413,13.261169951846391,413,21.0,413,0.0011476664116296864,413,3.2010100813916509,994
2012,2,25,51.400564174894214,459,12.851024298759693,459,21.0,459,0.0014382996608693116,458,3.2115195917975128,1141
2012,2,26,51.601626016260163,521,11.676056085510464,521,22.0,521,0.0014847075126200138,521,3.2101121766404197,1255
2012,2,27,51.344413665743303,411,11.912954709429615,411,22.0,411,0.0015080681646810435,409,3.1696946631891318,967
2012,2,28,51.443938766576217,432,11.886997486248976,432,21.0,432,0.0014055022927646527,432,3.1801317960220024,958
2012,2,29,54.991499671887347,382,11.551595075002851,382,22.0,382,0.001678174146528577,381,3.130453673904237,888
2012,3,1,53.660740740740742,393,12.506047050977758,393,22.0,393,0.0014180193305722219,392,3.2082396676584155,923
2012,3,2,49.836026464201339,410,12.731870606434484,410,21.0,410,0.0015345284602046928,408,3.2109380250553827,936
2012,3,3,49.050117462803449,451,13.291287806068189,451,20.0,451,0.0014461315979754157,451,3.1710624174161643,1100
2012,3,4,50.860122033055802,502,11.788647523425734,502,20.0,502,0.0016849199663016006,499,3.2011956502710563,1138
2012,3,5,50.366054033570364,424,12.590063367042868,424,21.0,424,0.0014564120222842164,424,3.1942046626197929,970
2012,3,6,58.466214518965081,427,11.201306709004886,427,22.0,427,0.0016376031704842769,426,3.0496520818300352,1029
2012,3,7,50.709942474105155,360,12.779205152702307,360,20.0,360,0.0014645187058980162,359,3.230166597739097,858
2012,3,8,56.903948477665921,324,10.934547219979279,324,21.0,324,0.0019474331476182619,324,3.2062626201254973,824
2012,3,9,50.981749424531401,323,12.074258368942681,323,20.0,323,0.0014856519262559376,322,3.2503199244772834,798
2012,3,10,63.637652573585363,460,10.880736599297384,460,24.0,460,0.0019042178425211845,457,3.2105614789340007,1116
2012,3,11,52.203910614525142,477,12.805236005536276,477,21.0,477,0.0016171664049497347,476,3.125961583075878,1077
2012,3,12,55.159127266263773,412,13.118796687534378,412,21.0,412,0.001732938748810716,410,3.1088015561957869,961
2012,3,13,53.389704854782963,356,12.300178839016983,356,22.0,356,0.0016788701782297288,356,3.2109602632276002,837
2012,3,14,55.960924463598261,354,11.995292214539864,354,22.0,354,0.001789988790404427,352,3.2035708748230869,849
2012,3,15,55.355208404935937,320,10.928446977072284,320,20.0,320,0.0018844987667834389,318,3.2071561199531571,856
2012,3,16,52.825027685492799,415,14.514283959611648,415,21.0,415,0.0013193209356183162,412,3.0075144048291675,926
2012,3,17,60.086339660710124,418,11.485986109968835,418,23.0,418,0.0016769189103597374,416,3.160477803900716,1002
2012,3,18,52.151616033804721,386,12.336203107181007,386,21.0,386,0.0014237288135593221,385,3.0450943661227781,912
2012,3,19,53.081152297014782,350,12.501913500161116,350,21.0,350,0.0019626020284673278,348,3.1312054819566129,872
2012,3,20,51.113951779870433,288,10.21316823609919,288,20.0,288,0.0020671925557291769,286,3.2132714907058135,768
2012,3,21,58.630158039284133,294,12.75784503612217,294,22.0,294,0.0012873836403248168,293,3.0769956083816399,732
2012,3,22,54.328322784810126,325,9.943704410010973,326,21.0,325,0.0018331805682859762,325,3.040690985602736,788
2012,3,23,51.472481274286132,304,12.128764492341279,304,21.5,304,0.0018006288928128326,304,3.242159057140805,762
2012,3,24,55.207821367672665,392,12.21881865691901,392,21.0,392,0.0017660677125352861,390,3.2052848753322163,962
2012,3,25,54.1519874417625,450,11.373706961048146,450,22.0,450,0.0017561465127947818,449,3.1671996087908876,1051
2012,3,26,49.35221674876847,371,12.033028254070542,371,19.0,371,0.0014680181754631247,371,3.2323799905930497,863
2012,3,27,55.284922394678489,339,10.874561101992011,339,22.0,339,0.0016559218084768617,338,3.1673374201527036,817
2012,3,28,50.089308716187205,345,11.219436344432051,345,21.0,345,0.0014213613181036102,344,3.2050541125069736,851
2012,3,29,46.118486317603967,352,11.196985800376751,352,20.0,352,0.0019938522887762732,351,3.1796079724850861,836
2012,3,30,50.870085470085471,337,13.021979733261038,337,20.0,337,0.001736111111111111,335,3.238868764647191,830
2012,3,31,49.218432076600841,443,13.789723520047813,443,20.0,443,0.0015033826108744675,443,3.2434111345283108,1069
2012,4,1,48.825785209473977,518,11.988950497730034,518,21.0,518,0.0015199614326016871,518,3.2471541132544433,1166
2012,4,2,44.444334975369458,495,14.016238511895649,495,19.0,495,0.0014710874731243635,495,3.1702934072438946,1048
2012,4,3,47.521662204653872,356,12.245125604686507,356,20.0,356,0.001641940460992382,356,3.2383836741640946,819
2012,4,4,49.810963114754095,359,12.421325091299723,359,19.0,359,0.0014973308843977502,358,3.243449035083847,805
2012,4,5,46.964444444444446,377,15.462394542134719,377,20.0,377,0.0010393981389823798,377,3.210182504576538,878
2012,4,6,52.293909620461392,402,13.849808422884593,402,20.0,402,0.0014084507042253522,401,3.1978565930088183,890
2012,4,7,53.908112779534783,390,13.181366979958407,390,21.0,390,0.0012688269073852835,390,3.2423468127603652,951
2012,4,8,50.675010288808366,428,13.596044101592568,428,20.0,428,0.0013962731922175491,428,3.2482922254840618,943
2012,4,9,48.839154681538012,417,13.486108399585989,417,20.0,417,0.0014240956992309882,417,3.2505341291966161,987
2012,4,10,48.934949733885276,377,13.753926520239,377,21.0,377,0.0015469793193290996,377,3.2464554113300701,875
2012,4,11,53.336341354723707,394,11.042786212887957,394,19.0,394,0.0019436684558751362,394,3.2508055952586541,933
2012,4,12,48.755924170616112,369,13.49138307838265,369,19.0,369,0.0014912654452492544,369,3.170918066293186,778
2012,4,13,47.863153160691127,376,13.492433412711497,376,19.0,376,0.0013674982921611217,376,3.2386933738280637,757
2012,4,14,50.274712484586153,448,12.272547924646666,448,20.0,448,0.0018647530730583526,448,3.2464318345550329,941
2012,4,15,52.811274509803923,445,13.596842667464307,445,20.0,445,0.0016920473773265651,445,3.2509677256649856,1042
2012,4,16,49.896337249481689,427,14.585925161873272,427,19.0,427,0.001154013530028101,426,3.2422481837035493,906
2012,4,17,49.743701282954376,320,12.773053662550367,320,19.5,320,0.0012932722737008684,320,3.2455145916343908,721
2012,4,18,47.236434108527135,381,13.030702872015802,381,19.0,381,0.001330424139215582,381,3.2444900363746489,843
2012,4,19,43.279733009708735,357,13.032903098794943,357,19.0,357,0.0016798252981689904,357,3.2116447605591438,797
2012,4,20,49.039575971731452,319,12.464823922001928,319,20.0,319,0.0014568410829185383,319,3.2063600276457795,681
2012,4,21,49.586748631943401,396,12.117037263658965,397,19.0,396,0.0013171139188321353,396,3.2435649740114858,870
2012,4,22,47.628000818498059,488,12.486562477415635,488,19.0,488,0.0013040425223719947,488,3.1681072734023092,1102
2012,4,23,50.504620123203289,381,12.738960136317854,382,22.0,381,0.0018210951697748936,382,3.2039034373467246,839
2012,4,24,49.430336110313128,361,13.66681479150667,361,20.0,361,0.0017184239597397815,361,3.2029329666975026,764
2012,4,25,47.75369458128079,347,13.031960419590305,347,19.0,347,0.0014637002341920376,347,3.2041550834381378,762
2012,4,26,46.918502202643175,371,13.107304933391889,371,19.0,371,0.0014645017510347023,371,3.2380008276586931,840
