year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,51.878971255673221,595,13.404718272339581,595,22.0,595,0.0013930348258706469,595,3.2467080765855418,1363
2012,1,1,48.998275506803452,426,16.274857193182303,426,20.0,426,0.0011098779134295228,425,3.252916180388616,1020
2012,1,2,55.604679515268622,342,15.078793430846446,342,21.0,342,0.0012319250190079719,342,3.2775133712610538,850
2012,1,3,47.832075471698111,259,15.86984072330662,259,20.0,259,0.0012896094325718496,259,3.2599229416244739,707
2012,1,4,48.511611087401903,160,16.195134150514921,160,21.0,160,0.0013653140781309915,160,3.3909650444024564,472
2012,1,5,42.514132648965138,142,17.376677210575167,142,19.0,142,0.00058649797893393506,142,3.4006901616838299,402
2012,1,6,38.411845930232559,196,19.947771283756715,196,18.0,196,0.00052947405577126721,195,3.3436553543774616,428
2012,1,7,41.947231965838036,225,18.621198734059462,225,18.0,225,0.00061304561059342814,225,3.2849302022505702,543
2012,1,8,46.177296664716209,267,14.923424316557123,267,20.0,267,0.0014475603263486058,266,3.1715369641636517,668
2012,1,9,49.446046742913971,325,13.422746456045228,325,21.0,325,0.0014060303077644118,325,3.232868464647161,780
2012,1,10,51.33597359735974,420,13.635578425642233,420,22.0,420,0.0014380107432874689,420,3.2065841961192492,966
2012,1,11,47.326273291052019,490,13.366692476510082,490,21.0,490,0.0015960929483276676,490,3.2421399483941755,1126
2012,1,12,53.790556411243742,530,11.923374390224701,530,21.0,530,0.0013320606702785158,530,3.242370577817387,1246
2012,1,13,50.925558312655085,551,13.029707605772723,552,21.0,551,0.0018707907208780244,551,3.2120372979794887,1297
2012,1,14,52.890546210581775,542,11.885927761333651,542,22.0,542,0.0016723739746754799,541,3.2124275947588146,1276
2012,1,15,51.577189666036546,675,13.06641991812579,675,21.0,675,0.0015813848412967355,675,3.2127284067868067,1481
2012,1,16,52.940978077571671,699,12.79594922923836,699,21.0,699,0.0015892306254089931,699,3.2454104249586564,1558
2012,1,17,54.273497036409822,719,13.295831062184227,719,21.0,719,0.0014650941322980001,719,3.2343949853746188,1629
2012,1,18,52.572986166461689,796,12.346514225227304,796,21.0,796,0.00164927899294293,796,3.1757951990552558,1772
