year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,93.310550458715596,299,3.2330216367213724,299,49.0,299,0.0070819962376894984,299,0.53874682132548446,459
2012,1,2,95.761041009463725,361,2.7519855280151932,361,47.0,361,0.0076530612244897957,361,0.52578690242593251,542
2012,1,3,89.289880165863551,284,2.9532748509605193,284,46.0,284,0.0074135851780065846,284,0.52991304074661061,387
2012,1,4,89.662956177386889,280,2.7348831612762301,281,46.0,280,0.0067632850241545897,281,0.53396300641640426,406
2012,1,5,93.919132149901387,243,2.6515456891710261,243,47.0,243,0.0059847660500544067,243,0.52489399457080954,340
2012,1,6,92.894792773645065,221,2.712668143729239,221,45.0,221,0.0075531914893617021,221,0.53319679521918251,348
2012,1,7,90.955343483645379,306,2.8994174215586188,306,48.0,306,0.0063925281659320691,306,0.54396534233765892,426
2012,1,8,91.008833712181115,310,2.5768412057755619,310,46.0,310,0.0063635926861410064,310,0.54233789772369501,423
2012,1,9,85.8471615720524,259,3.2181320582541475,259,46.0,259,0.0058211127280868693,259,0.52649242520085493,382
2012,1,10,94.088620804946999,244,3.1486807967718251,244,47.5,244,0.0070720390340348015,244,0.5225236595379168,361
2012,1,11,83.886269305261919,264,4.4434725526173784,264,44.0,264,0.0060609393391778121,264,0.54445567230146064,372
2012,1,12,84.715190321358818,266,4.4344149187776587,266,44.0,266,0.0055808223349785363,266,0.53066792814090236,375
2012,1,13,89.882294757665676,239,2.7834572839111686,239,44.0,239,0.0056497175141242938,239,0.53134376115138315,350
2012,1,14,81.763553391053392,304,4.3849958493709327,304,44.0,304,0.005901749597622942,304,0.5475740245205637,425
2012,1,15,86.446757018393029,299,3.5629478763089248,299,47.0,299,0.0062218408066938421,299,0.58245009749928212,442
2012,1,16,88.287364575702668,306,3.4955654821048059,306,46.0,306,0.0069294779218443334,306,0.54649639740971989,432
2012,1,17,85.013154429906109,258,3.3459495714359413,258,45.0,258,0.0056185845488924907,257,0.52990239062812716,363
2012,1,18,82.244866529774129,249,3.4468678332081759,249,44.0,249,0.0069772214241740202,249,0.53665649654983272,357
2012,1,19,94.51885608734645,200,2.583140390619608,200,43.0,200,0.0073089700996677737,199,0.37420188964220497,289
2012,1,20,85.839621700684802,160,2.7948418996662978,160,45.0,160,0.0072441126018034305,160,0.52358284751094319,252
2012,1,21,87.660420537531223,276,3.1387952020761967,276,46.0,276,0.0069117310917463474,276,0.53730469766129541,396
2012,1,22,86.98076027588624,252,3.256044482583047,252,45.0,252,0.005405933884204104,252,0.52748879297776741,388
2012,1,23,89.950060144741769,210,2.5527919316143963,210,42.0,210,0.0070937192888412401,210,0.5285271421103378,305
2012,1,24,84.815941269008917,215,2.830511840178819,215,43.0,215,0.0062009094667217855,215,0.53415692126638681,328
2012,1,25,82.003971809678973,204,4.3785549801847363,204,44.5,204,0.0065527203148418745,204,0.53956055705601536,280
2012,1,26,87.910164487557992,227,3.6249890652316661,227,46.0,227,0.0061777343883227635,226,0.54235956957274656,311
2012,1,27,85.745614035087726,193,3.451483143901422,194,46.0,193,0.0063380281690140847,193,0.53579160470230891,307
2012,1,28,98.629213483146074,277,3.2396205066399539,277,48.0,277,0.0063403781979977751,277,0.53178259593525867,378
2012,1,29,96.616336729742841,254,2.7642340439374604,254,49.0,254,0.0069806717909072493,254,0.53065107026409608,405
2012,1,30,89.21252465483235,199,2.8562112154493637,199,46.0,199,0.0059661915810407693,199,0.50456294512914501,312
2012,1,31,87.207926829268288,177,2.8007212514278703,177,45.0,177,0.0062320230105465009,177,0.45527565983371693,287
2012,2,1,91.131782945736433,185,2.9035982777383076,185,44.0,185,0.0067049808429118776,185,0.4969245914132786,259
2012,2,2,82.49967429360747,214,3.3121420751538482,214,44.0,214,0.0056138629910051458,214,0.5204890220074212,324
2012,2,3,81.569700157811681,187,3.1929061673766816,187,44.0,187,0.0067834237789837198,187,0.47384118346906778,293
2012,2,4,84.629078157623468,262,2.7226884982140636,262,43.0,262,0.0058597696504344311,261,0.51694243745806068,400
2012,2,5,76.147176384305098,242,3.7022824040045084,242,41.0,242,0.0054402665593968535,242,0.54033695809904825,328
2012,2,6,90.12945838837517,215,2.9033430886633074,215,46.0,215,0.0066815144766146995,215,0.46517843066629994,317
2012,2,7,98.922491349480964,195,2.4353470313908607,195,45.0,195,0.0059464816650148661,195,0.50976646283620053,300
2012,2,8,108.32402704990366,254,2.4398489038294571,254,54.0,254,0.0075481893966852284,254,0.50981531544208725,358
2012,2,9,82.065981148243353,237,2.9465257191499838,237,43.0,237,0.0054602184087363496,237,0.51913935858412463,365
2012,2,10,81.349617422012955,229,4.2997610569960107,229,44.0,229,0.0058195926285160042,229,0.52244000912464705,355
2012,2,11,81.228252331203521,306,4.5647357464370035,306,41.0,306,0.0058922958766594964,306,0.53476444325792305,438
2012,2,12,88.314871794871792,237,2.8108961306277997,237,44.0,237,0.0065163560536947735,237,0.54279370014284489,358
2012,2,13,86.029032098377172,226,2.9213950619389433,226,46.5,226,0.0070687417674855854,226,0.52918123076435342,338
2012,2,14,92.455680588453419,172,3.3518701277483163,172,42.0,172,0.0047199457608329866,172,0.50665052967685886,280
2012,2,15,82.781015591126661,238,4.0214828936293179,238,44.0,238,0.0064945924361704439,238,0.54032767621638955,353
2012,2,16,84.808681744458454,230,3.232104272549523,230,43.5,230,0.006432337257100464,230,0.5402810637855745,322
2012,2,17,81.906322104291647,229,3.5451017082869161,229,44.0,229,0.0058191584601611458,229,0.5173733083676032,337
2012,2,18,84.372256365232658,301,3.5316217580242384,301,45.0,301,0.0061573784178668338,301,0.52542196743600922,470
2012,2,19,86.85553869737825,300,3.6157319957393348,300,46.0,300,0.0062279643664068943,300,0.53529608392236605,414
2012,2,20,88.512516961454111,266,2.8042586886761929,266,46.0,266,0.0065815950823610025,266,0.50436171955657338,384
2012,2,21,80.05823469258462,234,3.7256627369809872,234,43.0,234,0.005926992473338194,234,0.53699851735316595,348
2012,2,22,91.642709334137123,222,3.1762781858768339,222,44.0,222,0.0075374099493254344,222,0.45687575479908449,341
2012,2,23,82.333595268798291,268,3.7700043992363947,268,44.0,268,0.0059226137522205378,268,0.51182035371300538,392
2012,2,24,88.175871594682761,214,3.4671639849423292,214,45.0,214,0.0058000890001448212,214,0.52794180002107283,335
2012,2,25,85.93989769820972,285,4.1750499621377761,285,43.0,285,0.0053763440860215058,285,0.50829999101007783,426
2012,2,26,83.256392536281965,303,3.2278769623408907,303,44.0,303,0.0059493281362190996,303,0.52734747607685017,437
2012,2,27,80.355925894100722,240,4.4457243981444448,240,43.5,240,0.0055796652200867944,239,0.53706255152120219,388
2012,2,28,85.585792349726773,239,3.2383106162860629,239,45.0,239,0.0057887120115774236,239,0.50392358781610569,396
2012,2,29,87.612953610809825,222,2.8316542966411045,222,45.0,222,0.0061823258461739024,222,0.53937244158387021,315
2012,3,1,85.461732548359961,225,4.289853610004565,225,48.0,225,0.0048685491723466411,225,0.76125414965850902,319
2012,3,2,86.368375076626677,254,3.0331678415433245,254,44.5,254,0.0062886597938144329,253,0.53301814021821425,373
2012,3,3,81.935788479697834,277,4.760199315009114,277,44.0,277,0.0053905506817461153,277,0.5629669688561223,421
2012,3,4,84.783107403545358,355,3.901347071711593,355,45.0,355,0.0053818426428584943,354,0.538900822584365,538
2012,3,5,86.451633035157059,273,3.6123308839848529,273,46.0,273,0.0057606703325477878,273,0.54074533851291706,388
2012,3,6,84.437741686001544,291,3.237155373114216,291,44.0,291,0.0066182054898557014,291,0.54034657152523624,409
2012,3,7,84.655061659213359,264,3.7261315592915145,264,45.0,264,0.0056809080684561549,264,0.54367219256267885,341
2012,3,8,79.414144237474403,232,3.389951951232141,232,47.0,232,0.0073726427260499688,232,0.52703720851242775,318
2012,3,9,90.949549549549545,255,4.1674439350268564,255,47.0,255,0.0057779612051176224,255,0.716560096765404,383
2012,3,10,83.175257731958766,277,3.5694701702290192,278,45.0,277,0.0064854605675661921,278,0.52926521606450216,388
2012,3,11,93.881803401416676,244,2.811572496702512,244,51.0,244,0.0065051201523743125,244,0.53112499755297493,370
2012,3,12,87.312347287192978,234,3.9641018648793027,234,48.0,234,0.0060796645702306078,233,0.53780659922321805,369
2012,3,13,88.78478042979259,216,3.2338438942260872,216,47.5,216,0.0066928193804151031,216,0.50801980364179711,318
2012,3,14,88.255586592178773,205,3.8427032076604268,205,46.0,205,0.0066777963272120202,205,0.52189923951222861,310
2012,3,15,80.976390323691447,206,4.3345792723567964,206,47.0,206,0.0059360207176624973,206,0.4807001828051064,308
2012,3,16,87.490340756640734,187,4.0616019652992232,187,46.0,187,0.0066472303206997086,187,0.52205494791942231,298
2012,3,17,88.596727622714141,237,3.9395587438655788,237,46.0,237,0.0064837327775848098,237,0.52759053359331276,351
2012,3,18,87.255134641716111,237,4.1600654774544843,237,45.0,237,0.0064467766116941532,237,0.53139319074894531,358
2012,3,19,114.51030641018644,236,2.475026611142888,236,55.0,236,0.0080645883390032917,236,0.41828885627803741,374
2012,3,20,90.611325681674401,222,2.7804369706190442,222,47.0,222,0.0057115817713957063,222,0.49629220932851731,323
2012,3,21,91.671641791044777,207,2.8448404751825489,207,49.0,207,0.005454545454545455,207,0.53180254790245529,322
2012,3,22,94.45706371191136,229,2.717231906539741,229,47.0,229,0.0060819462227912936,229,0.53650309500465232,376
2012,3,23,88.87707353776463,184,2.7789559187492809,184,45.0,184,0.0077363547758284596,184,0.50722996140938614,291
2012,3,24,90.493158834027369,225,3.8099504176781882,225,47.0,225,0.0057119119327032923,225,0.53131034795406229,350
2012,3,25,84.243582814856822,254,3.4088426054282421,254,47.0,254,0.0050359606600090031,254,0.52276360896786989,393
2012,3,26,85.513333333333335,273,3.6542360423262954,274,45.0,273,0.0058073262692144257,274,0.53055631881273746,419
2012,3,27,85.84226579520697,203,3.3124033708727771,203,45.0,203,0.0062034739454094297,203,0.59217652271822385,303
