year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,134.92769104354971,77,2.0950430746997033,77,78.0,77,0.012093023255813953,77,0.43033655087473283,158
2012,1,2,110.19711956735755,64,2.8085958250156406,65,61.5,64,0.0081697193306100938,65,0.47280144309541577,128
2012,1,3,123.22392493015926,62,2.2309535164480945,62,62.5,62,0.0090867752466878282,62,0.42394369197119014,109
2012,1,4,142.73487031700287,61,2.2958013191275839,61,68.0,61,0.012893982808022923,61,0.43441123416850835,120
2012,1,5,123.45491803278688,51,2.6367134345914134,51,55.0,51,0.0094630734416786665,51,0.56373295020243941,93
2012,1,6,116.22402327514547,35,2.3366926238838404,35,67.0,35,0.010612244897959184,35,0.47200369975225265,102
2012,1,7,111.48685594111461,71,1.7505073930448778,71,58.0,71,0.010454545454545454,71,0.54800910303590655,120
2012,1,8,111.27047155918267,74,2.1419368660130229,74,61.0,74,0.010565127019639553,74,0.53125226302831874,149
2012,1,9,120.52522746071133,65,2.5146730464719536,65,63.0,65,0.0096852300242130755,65,0.51467810763868915,127
2012,1,10,108.20795690977259,80,2.9397147677636388,80,56.0,80,0.013708615715587019,80,0.43541993962424985,127
2012,1,11,131.67320662170448,53,2.7540116955788685,53,54.0,53,0.012915129151291513,53,0.48179057803557179,97
2012,1,12,120.50900900900901,49,1.967217243936676,49,61.0,49,0.010411502231036193,49,0.441805944036057,100
2012,1,13,125.94384531297601,64,1.3718912490286361,64,71.0,64,0.013778355158833558,64,0.41546412102382246,103
2012,1,14,108.70998112595476,86,2.2930761464319249,86,64.0,86,0.017398623115715994,86,0.48859705743919357,153
2012,1,15,113.76053215077606,71,2.5040047191061574,71,54.0,71,0.011230907457322551,71,0.40561411497821798,138
2012,1,16,98.808203936857183,76,2.4261970006959634,76,60.5,76,0.013204553002088389,76,0.44265637990885909,146
2012,1,17,106.0393541876892,59,3.1904609624511524,59,58.0,59,0.010245901639344262,59,0.47382170610882407,107
2012,1,18,117.71131847069503,78,1.529436118998887,78,71.0,78,0.014344226414213339,78,0.47339562865726492,156
2012,1,19,96.86655112651647,37,1.4843418876591155,37,54.0,37,0.012141044862184293,36,0.43565714473947698,84
2012,1,20,89.24379562043795,43,2.7189016345257038,43,61.0,43,0.0070537167661421599,43,0.53762502036047799,84
2012,1,21,135.46027295007718,62,1.870785353472562,62,71.5,62,0.016415307294206476,62,0.42870999232016294,126
2012,1,22,118.71329394636533,66,2.7454983658587135,66,60.0,66,0.010082180349641624,66,0.47041553676563608,134
2012,1,23,114.83877551020409,47,2.3026141045234896,47,64.0,47,0.012848991937463788,46,0.41988016636003112,93
2012,1,24,126.01584380481353,64,1.3971665533627378,64,71.0,64,0.013664569212863553,64,0.47760567163509526,112
2012,1,25,134.04432340191511,68,1.3643380182713019,68,71.0,68,0.011570770145703242,68,0.46418784328259666,108
2012,1,26,111.50492434611652,66,2.7562259776482003,66,61.0,66,0.010667340748230536,66,0.51831634585110387,111
2012,1,27,93.762874929258629,53,3.2184326618307741,53,60.0,53,0.0090486364207615928,53,0.55112478023676914,97
2012,1,28,111.74754997376482,72,1.8457372676084765,72,63.0,72,0.0086781437232397937,72,0.48523122243127148,124
2012,1,29,111.58628849734995,62,1.5734010955927824,62,60.5,62,0.01050980080103976,62,0.5333366699036941,118
2012,1,30,87.614601882472655,51,2.7567847806071741,51,48.0,51,0.0075449796865931515,51,0.56268696419440678,105
2012,1,31,113.87337057728119,59,2.8213213165597439,59,54.0,59,0.010335917312661499,59,0.48536058672798277,114
2012,2,1,103.46973301612476,51,2.2542783566677782,51,54.0,51,0.010901883052527254,51,0.54044718998425201,89
2012,2,2,107.90403456186966,46,1.8776169879313258,46,58.0,46,0.011342901330911773,46,0.48804285222275917,87
2012,2,3,100.37608966376089,49,2.9700514657536452,49,46.0,49,0.01074141996332198,49,0.52075397835150428,91
2012,2,4,114.62333113435743,58,2.1574588943914401,58,52.0,58,0.0092803852682272134,58,0.40898323673143366,115
2012,2,5,113.48828125,66,2.7750759113845866,66,59.5,66,0.0086678664585616468,66,0.40749745743602173,113
2012,2,6,118.62353923205342,59,2.4438691595501787,59,52.0,59,0.0078676618922735534,59,0.47132862122339697,97
2012,2,7,118.36450939457202,75,2.3439617380608242,75,57.0,75,0.0092549745488199903,75,0.53547161279196764,135
2012,2,8,107.63036671099124,38,2.3813410138828246,38,51.0,38,0.013289332618600911,38,0.40257672717079118,92
2012,2,9,103.71068081454102,70,2.1797989100079596,70,56.0,70,0.007500203016830095,70,0.5295483727188951,141
2012,2,10,116.24958695704012,62,2.1681505745733887,62,52.0,62,0.013019669778201771,62,0.48465026850316401,124
2012,2,11,116.32062855232364,73,2.7676056344990525,73,57.0,73,0.010549450549450549,73,0.5227656260713992,151
2012,2,12,100.97781021897811,83,2.7339181443130078,83,45.0,83,0.0096181046676096175,83,0.47352862004657098,160
2012,2,13,115.14335360556038,71,1.7721267302582664,72,59.0,71,0.012423124231242312,71,0.52565129544752209,112
2012,2,14,145.78048013245035,52,1.9547526422636241,52,67.0,52,0.014878394479611947,52,0.43625037236529041,109
2012,2,15,110.59660297239915,81,1.8049009024331286,81,61.0,81,0.012307692307692308,81,0.48511874294182694,141
2012,2,16,97.028732394366202,61,2.7892571324198503,62,51.0,61,0.012054271466310398,62,0.48680524393695679,125
2012,2,17,81.33805563383028,50,3.5480638929281554,50,55.5,50,0.0066981747233670359,50,0.48626427536796663,100
2012,2,18,102.12726054922975,83,2.695635382604308,83,53.0,83,0.011019283746556474,83,0.44313936231870715,151
2012,2,19,108.37601952545725,104,2.6565317743142303,105,56.5,104,0.0092735703245749607,105,0.43982187275125012,194
2012,2,20,115.78735632183908,57,2.0357536722410785,57,59.0,57,0.013787820758330141,57,0.42700338627066897,139
2012,2,21,95.08899717876379,69,2.5310943643852264,70,53.0,69,0.0088396456584836237,70,0.43492646917885153,133
2012,2,22,117.29715290156466,90,1.8496216964770671,91,59.0,90,0.010346181391455912,90,0.50156346282460129,150
2012,2,23,89.306902745701819,59,4.3207393538012679,59,46.0,59,0.0092179173268039753,59,0.55537364757906493,102
2012,2,24,114.39505737521145,76,1.5719511958565877,76,59.0,76,0.011487304463834318,76,0.53531873631769067,138
2012,2,25,96.452708164915123,81,4.1674034398102311,81,44.0,81,0.0052618990672088015,81,0.52342377159257303,159
2012,2,26,101.23185265438786,83,2.8489042314073938,83,52.0,83,0.011737089201877934,83,0.48202168733517181,153
2012,2,27,99.743850720949951,73,3.1798084554906083,73,45.0,73,0.010684606252473288,73,0.54740576878648373,136
2012,2,28,90.415446071904128,65,3.5648933142876831,65,48.0,65,0.0046766282650849778,65,0.54320620808890463,124
2012,2,29,123.8791273980305,58,1.7469857046590849,58,58.0,58,0.0088302323326083041,58,0.54269913904397193,114
2012,3,1,143.96420655550929,40,2.5625329233144791,40,45.0,40,0.012946651929038485,40,0.41343361911675264,117
2012,3,2,98.425164679431788,62,2.4229429777824603,62,51.5,62,0.0091811645594573384,62,0.50307152882273931,109
2012,3,3,91.683429951690812,70,2.8418491834932604,70,55.0,70,0.0073988066987592379,70,0.5016597584442799,136
