year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,45.791875626880639,283,16.723838044273489,283,25.0,283,0.0008596692121623378,282,2.8686384512550611,467
2012,1,2,52.781453115338863,322,12.594080306458157,322,26.0,322,0.0012290588191149142,322,2.8541610566586781,517
2012,1,3,44.514881039688653,234,14.824553949222985,234,25.0,234,0.001198252106902093,234,2.9360812146537616,402
2012,1,4,45.510552763819092,247,14.893442203886226,247,25.0,247,0.0011185303189506152,247,2.8935988460784596,427
2012,1,5,45.523599472901743,232,16.297537656535756,232,24.5,232,0.001604470993896842,232,2.8947161681616267,368
2012,1,6,43.257963371574604,262,15.706116169621147,262,26.0,262,0.0012933727595786774,262,2.9597781378414085,443
2012,1,7,42.336728919071874,267,16.278222576313542,267,18.0,267,0.0011008749058462252,267,2.8917014415732778,476
2012,1,8,45.004677237274223,290,14.171153630034951,290,27.0,290,0.0011331586835303131,290,2.8918310200974813,491
2012,1,9,44.816825775656326,265,15.277129091112187,265,26.0,265,0.0012670256572695597,265,2.9373495274134287,441
2012,1,10,45.538425386705896,238,14.827855221893412,238,25.0,238,0.0011985898234560767,238,2.8892845035693475,364
2012,1,11,45.37560975609756,223,13.986807113361314,223,24.0,223,0.0011110082399777798,223,2.930765653527863,389
2012,1,12,44.811721611721609,255,15.828801136516445,255,25.0,255,0.0012075211316198034,255,2.8938190063579965,436
2012,1,13,45.064079774550187,262,13.612925897232971,262,24.0,262,0.0014165542999263426,262,2.8524013475947596,433
2012,1,14,41.918055555555554,297,15.454155450807979,297,26.0,297,0.0012559057472639197,297,2.9319607499159246,473
2012,1,15,42.101494075218959,357,14.409045037229813,357,18.0,357,0.0010392129693778578,357,2.8897476511306333,581
2012,1,16,45.131427159331658,288,13.451118290773998,288,27.0,288,0.0023640661938534278,287,2.8521133535701546,516
2012,1,17,48.026282853566961,273,13.304270927373512,273,27.0,273,0.0015763307869528314,273,2.8898945463222736,451
2012,1,18,40.307855626326962,257,15.404729514895886,257,24.0,257,0.0010566356720202875,257,2.8924629775328938,437
2012,1,19,42.87354017154037,230,16.092451339224205,230,26.0,230,0.00096739936884934915,230,2.9847771408915453,383
2012,1,20,48.111362404707748,216,13.663591090533075,216,26.0,216,0.0013219564362979418,216,2.8942264727160758,375
2012,1,21,43.522501168381069,290,15.748015966704028,290,25.0,290,0.0011822786138333979,290,2.891307518704,490
2012,1,22,45.678388746803066,327,15.300664169869318,327,25.0,327,0.0013760918990068207,327,2.8958321634563831,550
2012,1,23,43.334022750775596,271,18.288588596396071,271,25.0,271,0.00090076565080318271,271,2.9634910492894373,451
2012,1,24,41.552346570397113,229,16.934104577044195,229,13.0,229,0.00081234768480909826,229,2.9347402001645992,407
2012,1,25,41.992235229038371,236,17.336125666334894,236,24.0,236,0.0010216057621123742,236,2.955353190506091,387
2012,1,26,42.581887691788793,234,16.031210613204426,234,17.5,234,0.0012490518812454544,234,2.8780924489129696,388
2012,1,27,39.414153946688685,218,16.028846049459247,218,12.0,218,0.00089914046607188322,218,2.8926317670603856,370
2012,1,28,35.592549476135041,247,18.378221321541009,247,12.0,247,0.00071359396503389567,247,2.8952231590020832,427
2012,1,29,33.928862314156433,314,18.857730646144525,314,10.0,314,0.00062749810383061716,314,2.9876776745850111,525
2012,1,30,39.576058552688735,252,17.273821316762842,252,12.0,252,0.00092429336832321901,252,2.9333573156966599,444
2012,1,31,32.643395819866406,238,19.264943383106893,238,12.0,238,0.0006568200504082568,238,2.9328733880432822,391
2012,2,1,36.153537954475226,308,17.466175938227067,308,12.0,308,0.00074313059927286847,308,2.8540724288068007,501
2012,2,2,39.579567779960705,227,16.953154318868609,227,12.0,227,0.00088608295951708477,223,2.8929055351546253,396
2012,2,3,34.932590195292384,242,18.04787525335103,242,11.0,242,0.00065498300831807685,242,2.8532153205026547,393
2012,2,4,37.957855274315421,288,19.181346958040983,288,12.0,288,0.00061569173165854313,288,2.9257535599464441,536
2012,2,5,38.093936806148591,289,16.305130609953569,289,12.0,289,0.00094905474147748841,289,2.8542944523917333,492
2012,2,6,34.891064871481028,233,18.629501619343209,233,11.0,233,0.00070821529745042496,233,2.9328408003180386,394
2012,2,7,37.569326103795504,245,16.566120016165467,245,12.0,245,0.001068090787716956,245,2.8942278041329579,389
2012,2,8,34.180977542932631,285,18.900701429384203,285,12.0,285,0.00068585151319943631,284,2.8915640944110819,513
2012,2,9,36.84237074401009,277,16.937191663006971,277,12.0,277,0.00074537010492517627,277,2.8910567392138145,511
2012,2,10,32.231303300835037,266,17.982552300827916,266,11.0,266,0.00068843768829594679,266,2.8941547999152042,469
2012,2,11,40.508829094292807,328,16.389010081774309,328,13.0,328,0.0010721229537389461,328,2.9324733929905706,551
2012,2,12,37.473504273504275,317,15.960150407679361,317,12.0,317,0.0010261362950443652,317,2.9122792983845001,556
2012,2,13,36.747554404075217,260,16.734819027630287,260,12.0,260,0.0008986006846947841,260,2.8926487173910944,425
2012,2,14,34.725705329153605,211,16.152088796634473,211,11.0,211,0.00077467334607240611,211,2.8534353561293453,386
2012,2,15,32.015296666951784,236,18.488320855785886,236,11.0,236,0.00060511320659573391,235,2.929149676633136,394
2012,2,16,34.908496148580873,258,16.545488877016631,258,12.0,258,0.00072693302130711311,258,2.9504398810548182,415
2012,2,17,35.386962564876612,238,19.144776569708647,238,12.0,238,0.00072446269017145616,237,2.8536175591345785,429
2012,2,18,33.093982066066815,266,19.754898672892246,266,11.0,266,0.00051537536505755026,265,2.8521017179139547,463
2012,2,19,33.773933785871534,298,19.362511788200059,298,11.0,298,0.0007286024563805827,298,2.9739877622656365,521
2012,2,20,34.041666666666664,253,17.823668123104536,253,12.0,253,0.00070656397936833177,253,2.8946712340868266,483
2012,2,21,34.46835212504088,314,17.072152498447711,314,12.0,314,0.00075821223783172943,314,2.8542728887901285,519
2012,2,22,31.754368932038837,273,19.090391724234109,273,12.0,273,0.00059848384093629469,273,2.9035671539240266,468
2012,2,23,30.853379152348225,227,20.167657151893728,227,12.0,227,0.00060517423974986134,227,2.9329919483682891,396
2012,2,24,31.677530017152659,257,18.090593498695789,257,12.0,257,0.00060747190442442039,257,2.8541404857531614,429
2012,2,25,34.704612433422994,300,17.581949446453628,300,11.0,300,0.0007330577807652611,300,2.9314206692868909,509
2012,2,26,32.30872441226424,350,18.912577239489075,350,12.0,350,0.00067717994261035693,350,2.8937694253172443,587
2012,2,27,32.103174603174601,269,19.227632112252468,269,12.0,269,0.0007025291047771979,269,2.889941228493524,437
2012,2,28,36.636087915441379,200,15.291994173574761,200,12.0,200,0.00094819027905877231,200,2.8914089494601285,376
2012,2,29,33.809989920194809,290,16.90546660680852,290,12.0,290,0.0006789577631322141,290,2.8921323398264325,481
2012,3,1,31.186915887850468,279,18.498687783260664,279,11.0,279,0.00069835885668678602,279,2.8138750885657573,445
2012,3,2,31.116578634481705,296,18.768697947605546,296,12.0,296,0.00081847839525784759,296,2.9331012760829478,469
2012,3,3,32.368474923234388,315,19.14233686024437,315,11.0,315,0.00081119448387750967,315,2.9301351575958194,529
2012,3,4,33.117485588800442,347,17.648568771811313,347,11.0,347,0.00076954951755164858,347,2.8915964329910411,571
2012,3,5,34.1001250360681,243,18.424200494473396,243,11.0,243,0.00069328095210584089,243,2.8941021170894468,444
2012,3,6,31.345084409136049,253,18.761551745138053,253,12.0,253,0.00079930726703523612,253,2.8530449897127697,442
2012,3,7,33.522935779816514,263,17.219283691524748,263,12.0,263,0.0007776481697494862,263,2.8918285454849046,448
2012,3,8,31.623874382449948,254,19.383019328545032,254,12.0,254,0.00060000119988241158,254,2.8549447847717921,384
2012,3,9,30.613756613756614,223,18.981991434506153,223,11.0,223,0.00075666813796582382,223,2.8973594248074246,387
2012,3,10,32.734801929913658,302,18.190872909599499,302,11.0,302,0.00092612559922410586,302,2.8936356664227754,493
2012,3,11,32.063594470046084,313,16.701463176788824,313,12.0,313,0.0007543103448275862,313,2.849206150409513,484
2012,3,12,30.371958285052145,285,19.121134545729888,285,11.0,285,0.00059970014992503744,285,2.9662106320221158,485
2012,3,13,34.651255707762559,281,19.696286296640853,281,12.0,281,0.00075232414423128595,281,2.8931136148814178,473
2012,3,14,30.814981949458485,255,20.098057462631338,255,11.0,255,0.00067084078711985684,255,2.8849118924450678,423
2012,3,15,31.780068728522338,217,19.892302313675291,217,11.0,217,0.00061271381159050289,217,2.9327888461018818,344
2012,3,16,34.9485903814262,197,17.310764643147458,197,12.0,197,0.00075700227100681302,197,2.8946743416830039,347
2012,3,17,34.954514331305006,338,17.908872311609592,338,12.0,338,0.00091238598930779057,338,2.8965334193152801,552
2012,3,18,33.258298926507017,331,17.661953010276083,331,11.0,331,0.00073109131995214671,331,2.8937600006420077,546
2012,3,19,33.974311069593647,261,19.02920824798364,262,12.0,261,0.00076720443318656036,262,2.894700090593727,411
2012,3,20,30.178406010860925,286,19.841920229368753,286,11.0,286,0.00064986223446881727,286,2.8914741099177856,492
2012,3,21,31.038199892668217,282,19.52748648601267,282,11.0,282,0.00087754413012251439,282,2.8883437238362935,446
2012,3,22,33.305890310373073,260,17.882808325904094,260,12.0,260,0.000712666030754021,260,2.8985682188361324,434
2012,3,23,33.602836879432623,239,15.599658088153516,239,12.0,239,0.00083542188805346695,239,2.9247549135171615,437
2012,3,24,32.167657045840407,263,18.679732513045298,263,11.0,263,0.00084975304052259816,263,2.8923081596092226,444
2012,3,25,33.857506712918088,256,17.131686264788311,256,11.0,256,0.00077731839286888254,256,2.9058640811325005,469
2012,3,26,35.469618055555557,245,15.65155345567738,245,12.0,245,0.00071942446043165469,245,2.8813552528629764,430
2012,3,27,34.559360373601862,232,16.417135404845293,232,12.0,232,0.00097874579610959952,232,2.9232966039354529,405
2012,3,28,35.370291453249905,278,18.101936582700425,278,12.0,278,0.00075328231130398202,278,2.9328542857087228,448
2012,3,29,33.999597207303971,251,17.333047655736276,251,12.0,251,0.00091178481878276729,251,2.9675617506264542,416
2012,3,30,30.349539406345958,233,16.995480407533719,234,12.0,233,0.00093659993066235391,234,2.8774738242114868,413
2012,3,31,32.490566037735846,333,18.511999246795817,333,11.0,333,0.00087626734568073622,332,2.8903508130503672,565
2012,4,1,28.380320619126589,379,19.360691506318222,379,11.0,379,0.00068517850703209517,379,2.9390251386011821,612
2012,4,2,30.06581059390048,291,19.87989205769308,291,11.0,291,0.00084690878294226078,291,2.8922240801597958,456
2012,4,3,33.189143806561091,266,17.45182877687413,266,11.0,266,0.00074458366188503511,266,2.9150360592543469,445
2012,4,4,35.161033598968018,296,17.939785820922054,296,12.0,296,0.00077217376569862139,296,2.8554009752814249,421
2012,4,5,32.539329764111244,246,18.847799963557122,246,12.0,246,0.00081687576839421078,246,2.9664223985781302,420
2012,4,6,31.035268817204301,233,17.47495050110842,233,11.0,233,0.00081674323634507403,233,2.8905698148425514,388
2012,4,7,32.354845362283967,240,19.083728589972953,240,12.0,240,0.00061731672657445134,240,2.8514455443741831,392
2012,4,8,35.101404056162245,293,18.049890456774545,293,12.0,293,0.00074620678219053144,293,2.8470256840324426,483
2012,4,9,34.145547180443586,222,16.005107814535172,222,12.0,222,0.0010532564213423037,222,2.9300113340450444,381
2012,4,10,34.591804151144224,273,18.506726078803894,273,12.0,273,0.00075401658836494404,273,2.930142784750895,425
2012,4,11,31.329772050162823,258,19.399834463387684,258,11.0,258,0.00064292888308174149,258,2.9702766045779789,467
2012,4,12,31.908396946564885,233,19.329244085479036,233,11.0,233,0.00057130614868242514,233,2.8433995754048285,377
2012,4,13,34.066073807263813,254,19.148902465653535,254,12.0,254,0.000849752750016228,254,2.8910689172334778,414
2012,4,14,37.398452611218566,283,16.992982109752884,283,12.0,283,0.00080423564104282553,283,2.923856772282345,462
2012,4,15,35.117136659436007,285,15.963515787808378,285,12.0,285,0.00069728060563801174,285,2.8463682390002547,486
2012,4,16,34.485759842312589,262,17.263699034480872,262,11.0,262,0.0007696028279331696,262,2.88819930237131,441
2012,4,17,34.006951871657755,269,18.343367625759576,269,12.0,269,0.00079302141157811261,269,2.9261806726013924,419
2012,4,18,31.214389183969097,227,18.964541594485066,227,10.0,227,0.00070007000700070005,227,2.87902101160822,381
2012,4,19,30.950157186723203,280,19.378548919186443,280,12.0,280,0.00069944369969700661,280,2.8783712097730341,437
2012,4,20,30.993194218173194,222,18.735386313706396,222,11.0,222,0.00059203077570147062,220,2.9685767965655012,352
2012,4,21,31.45521653543307,249,18.167249200819235,249,11.0,249,0.00077093572323407532,249,2.9405730428066854,391
2012,4,22,34.377805486284288,251,18.005810701588302,251,11.0,251,0.0007377351530800443,251,2.9206935527581264,463
2012,4,23,33.691512915129152,207,19.057106503826024,207,12.0,207,0.00079575596816976125,207,2.9588543541689254,353
2012,4,24,32.999414862492685,222,16.432086134524102,222,11.0,222,0.00065602229515142958,222,2.9670490967516949,422
2012,4,25,31.101296647691335,220,17.885552270495818,220,11.0,220,0.00063191309184662081,220,2.9411432651392615,395
2012,4,26,32.140863946729866,222,17.545152900003067,222,11.0,222,0.00069072433428622152,222,2.89071513326643,381
2012,4,27,32.858058270275748,230,17.938118070788825,230,11.0,230,0.00080864988802178852,230,2.9285952859539308,387
2012,4,28,32.172103378182172,273,18.018827441343909,273,11.0,273,0.00081029069178567808,273,2.8868285547264665,449
2012,4,29,35.605325725154543,277,17.365088261791328,277,12.0,277,0.00062363579669473025,277,2.9247142362724095,469
2012,4,30,35.082888996606883,235,17.174039978022758,235,11.0,235,0.0007215007215007215,235,2.8946843332187813,422
2012,5,1,30.756843800322063,273,20.036007453332569,274,11.0,273,0.00063361200012064902,274,2.8506359482125387,471
2012,5,2,31.132341426459575,242,20.921593098927339,242,11.0,242,0.00077254017020890063,242,2.9278682561600826,420
2012,5,3,31.722821091671371,260,15.412003363882135,260,11.0,260,0.00077070219122388661,260,2.8809363394780103,489
2012,5,4,32.398123324396785,297,18.092546439480163,297,11.0,297,0.00084380273767110448,297,2.8500769895880493,471
2012,5,5,36.236683141131245,285,18.214549136827468,285,12.0,285,0.00071817583338320667,285,2.8817045482912369,509
2012,5,6,35.565249266862168,361,16.233882806696109,361,12.0,361,0.00065812031085218513,360,2.9262075384678754,578
2012,5,7,33.31742944995743,248,18.565278071495264,248,11.0,248,0.00074973932979065217,248,2.887720980464854,396
2012,5,8,29.342048685145699,244,19.792189609293047,244,11.0,244,0.00070985722736695506,244,2.9602856851104327,414
2012,5,9,31.068129858253315,275,18.018563748533619,275,11.0,275,0.00082947397525402636,275,2.8865789720667534,482
2012,5,10,31.857802696004221,246,18.656737091249113,246,11.0,246,0.00072544084168933167,246,2.9210794529430029,404
2012,5,11,33.496944062368939,264,20.388476404960695,264,11.0,264,0.00072584386661932708,264,2.9290373656336577,452
2012,5,12,34.125128736686136,260,16.504943302037709,260,12.0,260,0.00082617202951712747,260,2.9579120939107617,469
2012,5,13,33.406077348066297,201,19.347031911440443,201,11.0,201,0.00068168649238215342,201,2.9095596680863087,354
2012,5,14,32.933007795768013,195,19.619379035291932,195,12.0,195,0.00059491348966337807,195,2.8889970360022303,330
2012,5,15,30.039679233493022,133,16.321225332960662,133,11.0,133,0.00071161714997331437,133,2.9577943173861545,246
2012,5,16,34.37731343283582,145,17.374209780146696,145,11.0,145,0.00079223608635373339,145,3.0305597366451256,257
2012,5,17,36.15212622591212,172,16.874357215020964,172,12.0,172,0.00086063810016058853,172,2.8434649522565798,307
2012,5,18,31.217178480929533,180,19.35171226090128,180,10.0,180,0.00070222384130227511,180,2.8884381054706001,288
2012,5,19,31.03712086917157,187,21.189927660294714,187,11.0,187,0.00049875311720698251,187,2.9277914653092538,327
2012,5,20,34.660107391095622,216,17.230088059061963,216,11.0,216,0.0008498923635797892,216,2.9233827903644687,356
2012,5,21,34.045211183819156,201,18.151370571910697,201,12.0,201,0.00078886976477337927,201,2.914135474587412,343
2012,5,22,32.89872769504592,180,16.180954405438349,180,12.0,180,0.00090917765084021955,180,2.889000575140829,315
2012,5,23,33.227142128288335,150,18.6070855760501,150,12.0,150,0.00084218502484556339,150,2.9612995449052653,325
2012,5,24,32.251982916412445,179,17.238458278436521,179,11.0,179,0.00076946752847029858,179,2.9289437901502207,301
2012,5,25,30.445515015386793,176,20.514585800270375,176,11.0,176,0.00078010575557007017,176,2.9661262099209003,296
2012,5,26,34.721498710799807,186,17.75037290549529,186,12.0,186,0.00072372816386373148,186,2.8698897348377397,300
2012,5,27,32.435338954181574,204,20.117562135292978,204,11.0,204,0.00068676548069371269,204,2.9679808414273152,367
2012,5,28,33.341340782122906,221,16.384343447596084,221,12.0,221,0.00067604110329908061,221,3.009879612010768,375
2012,5,29,29.925613496932517,171,19.200385018453094,171,11.0,171,0.00071309721892084618,171,2.9654065402146195,310
2012,5,30,32.229618163054695,177,14.53084188601847,177,12.0,177,0.00092468920168498926,177,2.9288438248366839,295
2012,5,31,40.20163941414885,160,14.761674601256207,160,12.0,160,0.0010633281475382712,160,2.8866021802849442,276
2012,6,1,35.729782994006612,128,19.81113000331753,128,12.0,128,0.00080782312925170064,127,2.9318259918356593,241
2012,6,2,30.939192641798673,193,21.610148027053896,193,12.0,193,0.00065164060104262495,193,2.8519924594423038,349
2012,6,3,32.592316513761467,185,19.067486470229134,185,12.0,185,0.00075958982149639193,185,2.8457512395288629,332
2012,6,4,31.275179033377498,148,18.343916384726931,148,12.0,148,0.00063811954496193531,148,2.8865919089522367,251
2012,6,5,34.901622718052735,156,16.042488106545786,156,11.5,156,0.00080341492811361733,156,2.851190103247931,253
2012,6,6,31.486262563296812,158,16.452798580430461,158,12.0,158,0.00057932607231662504,158,2.8857388052136765,255
2012,6,7,31.582282666981101,44,22.476627926530973,44,12.0,44,0.00056715607509352361,44,2.9673384304216093,85
2012,6,22,35.661960132890364,173,15.124043831386036,173,12.0,173,0.00093085794073537772,173,2.9241315949418309,274
2012,6,23,36.475195164945859,310,17.3893624570665,310,12.0,310,0.00080617855711944634,310,2.8994614695111052,480
2012,6,24,31.167536988685814,273,17.645409413910595,273,12.0,273,0.0007383252322648126,273,2.8597935007524464,434
2012,6,25,33.124576271186442,245,19.578511195718516,245,12.0,245,0.0006498375406148463,245,2.8904510694184786,407
2012,6,26,32.06311207834603,283,20.831432222330605,283,12.0,283,0.00051783957330019158,283,2.9710629481960593,482
2012,6,27,30.5,241,19.908663988541811,241,11.0,241,0.0007637828079433412,241,2.8515887127657233,361
