year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,43.407426246185146,377,14.218754576069024,377,17.0,377,0.001251721116535236,377,2.8947326108651161,614
2012,1,1,43.766954377311961,267,14.083349033520372,267,16.0,267,0.0011775095672652341,267,2.8922344926027188,461
2012,1,2,40.715026874547327,202,16.877210860096255,202,24.0,202,0.0010453872288526875,201,2.8532857437510284,348
2012,1,3,38.222678438327293,156,18.628243256638303,156,19.0,156,0.00087427569390688658,156,2.853480842146932,295
2012,1,4,39.847493036211702,107,16.727304490915053,107,16.0,107,0.00079626287291644545,107,2.8519063903165267,207
2012,1,5,41.179212590987717,118,18.909506993061498,118,16.0,118,0.0012353790888740433,118,2.8917818283778924,206
2012,1,6,41.494797553584675,108,16.488020256383368,108,25.5,108,0.00092500760153296031,108,2.8926318923439789,202
2012,1,7,41.768209337647903,128,19.479526964097523,128,25.0,128,0.00082913735007375652,128,2.9358700764968839,233
2012,1,8,44.307114137483786,188,19.6696089545703,188,25.5,188,0.00079550594769749704,188,2.9150238818784802,294
2012,1,9,40.708049292165271,248,14.973230206306473,248,24.0,248,0.0012102205180008383,248,2.9233010766179834,425
2012,1,10,44.300813008130085,289,17.06554844308695,289,25.0,289,0.0013652498407208519,289,2.9720022218504623,444
2012,1,11,39.97904918804943,324,18.576214336007045,324,16.0,324,0.000905817911357023,324,2.9683154770939781,540
2012,1,12,41.964194373401533,333,15.618172580522128,333,23.0,333,0.0011322463768115942,333,2.9329428381470755,558
2012,1,13,43.986074840351932,346,16.070549162076425,346,20.0,346,0.0012175896642031205,346,2.8931306883536361,577
2012,1,14,40.589090988269469,364,15.141670539209244,364,17.5,364,0.0010023122182188688,364,2.974619035991902,608
2012,1,15,41.69123252858958,409,16.125064522328298,409,16.0,409,0.0010121457489878543,409,2.9055256495041228,673
2012,1,16,41.500115025290626,448,16.054184869314682,448,18.5,448,0.00082693443591258119,447,2.8974398921307305,727
2012,1,17,44.299999999999997,477,14.179510457948524,477,25.0,477,0.0011453004504848438,477,2.8962352635338533,819
2012,1,18,44.409688511326863,523,15.895362888631354,523,24.0,523,0.0010843634786380394,523,2.9150940999358377,907
2012,1,19,43.773252279635258,553,15.058209842498664,553,24.0,553,0.0013063357282821686,553,2.933006894150533,918
2012,1,20,46.687766714082507,601,15.136711860595975,601,25.0,601,0.0011569387400937119,601,2.8592013252041353,1010
2012,1,21,46.182736402934218,606,13.375284171575114,606,24.0,606,0.0012613928125841344,606,2.8930505336054066,1016
2012,1,22,46.087769212609864,530,15.354151180662079,530,23.0,530,0.0012395342173030415,530,2.8930725950250973,851
2012,1,23,43.309932919331999,452,15.067853173708292,452,17.0,452,0.0012685937529513139,452,2.8926285463951391,767
2012,2,0,36.403864097919751,333,18.333261969014963,333,12.0,333,0.00068673457708595632,333,2.8932885720855368,609
2012,2,1,33.367806505421186,247,16.956572026107494,247,12.0,247,0.00072209614194347019,247,2.8542501411964247,436
2012,2,2,33.315463688188757,208,19.760837133016835,208,12.0,208,0.00059600160024650655,208,2.9695724834180255,376
2012,2,3,34.386165422272597,166,17.959165969172609,166,11.0,166,0.00048177573421740279,166,2.8530043078415521,278
2012,2,4,31.62927709651899,126,17.500849281301178,126,12.0,126,0.00057306375360196638,126,2.8117590142537909,242
2012,2,5,29.991496864149013,106,19.83522950699976,106,12.0,106,0.00070937384374603887,106,2.8141716726156272,208
2012,2,6,31.995639534883722,139,20.75941793437072,139,11.0,139,0.00062254573316732119,139,2.8927744045493866,243
2012,2,7,29.513431606052048,132,20.573644743157111,132,12.0,132,0.00056529112492933857,131,2.9726902703389393,237
2012,2,8,33.628057221965854,179,19.573760509790148,179,12.0,179,0.00077991871276342456,178,2.9352074716235776,310
2012,2,9,32.00761355380628,236,18.840037600145781,236,12.0,236,0.00069982504373906527,235,2.9555592002292137,374
2012,2,10,32.917132454423829,230,18.783335522156143,230,12.0,230,0.0007125038451202912,230,2.9351276573964862,416
2012,2,11,33.85823558306317,276,17.948762002587685,276,12.0,276,0.0006193101722017872,276,2.897779042306909,517
2012,2,12,34.792481935146427,340,17.47968589173821,340,12.0,340,0.00078377584010972865,339,2.8916467142745961,569
2012,2,13,32.293912209912094,336,19.621545831590741,336,11.0,336,0.00066088614284234458,336,2.8856731979887251,591
2012,2,14,32.823241590214067,407,17.732672582029718,407,12.0,407,0.00069344921640238544,407,2.8959322043776545,673
2012,2,15,32.83950226435347,384,17.640751188066865,384,12.0,384,0.00072468886606739686,384,2.8959359107786202,630
2012,2,16,34.18181818181818,423,18.067081139158471,423,12.0,423,0.00083582089552238805,421,2.8648741013815453,704
2012,2,17,36.933745383269617,466,17.593757427969198,466,12.0,466,0.00080439692307053459,464,2.8864408516518152,814
2012,2,18,34.432835820895519,495,17.070247407060005,495,12.0,495,0.00087733290795980216,495,2.8932788175416508,812
2012,2,19,37.012110726643598,517,16.59480862821033,517,12.0,517,0.00090733809685834181,517,2.8923385366010264,870
2012,2,20,39.065817409766453,581,16.223125774396159,581,12.0,581,0.00077299665034784846,581,2.8986256154043035,978
2012,2,21,37.236517719568567,539,17.230827839785388,539,12.0,539,0.00065405514187965382,539,2.8934555667316584,942
2012,2,22,36.731788079470199,521,17.054122713748868,521,12.0,521,0.00074993182437960181,521,2.8565633249432132,867
2012,2,23,35.213897425712219,418,17.47687222066849,418,12.0,418,0.00083819991354854712,418,2.8973811479401692,723
2012,3,0,33.147710765930469,368,18.133833967801479,368,11.5,368,0.00086425967290394592,368,2.8519753671529209,658
2012,3,1,34.692172755353333,304,17.737001300013389,304,12.0,304,0.0011097618094880034,304,2.8534471570927784,481
2012,3,2,33.272042632689391,202,18.80878509260339,202,11.0,202,0.00074831389061794291,202,2.8923325607163513,336
2012,3,3,30.853010896112504,200,21.948331473074635,200,11.0,200,0.00057671892727550501,200,2.8939657605171196,295
2012,3,4,34.278838808250576,153,20.641386960796158,153,12.0,153,0.00058774139378673382,153,2.8893307182802861,253
2012,3,5,33.454945054945057,97,17.748793157341986,97,11.0,97,0.00088652482269503544,97,2.8521189815183012,183
2012,3,6,34.65800764128943,108,16.081201020920282,108,12.0,108,0.00090919357907804786,108,2.8866685062380442,208
2012,3,7,30.882579403272377,141,20.111039211914139,141,12.0,141,0.00077533249835987355,141,2.893986517854338,240
2012,3,8,30.474314824534233,176,19.723607842423394,176,11.0,176,0.00050600563501783076,176,2.891855610751628,317
2012,3,9,30.38031914893617,253,19.794431847211154,253,11.0,253,0.00067127956211917791,253,2.9304933685005787,402
2012,3,10,30.624021675485452,292,19.826639708357092,293,10.0,292,0.0007592630087062158,293,2.9325507994365192,478
2012,3,11,31.392191659272406,287,21.984171827339313,288,11.0,287,0.00063310566520125282,288,2.9513765587277931,541
2012,3,12,30.271769273433168,355,20.637960941602657,355,11.0,355,0.00065032516258129065,355,2.9280150032272942,575
2012,3,13,33.294055760126248,349,17.751875520043374,349,12.0,349,0.00073109131995214671,349,2.893241116455973,551
2012,3,14,30.657052350783594,397,20.314103404784408,397,12.0,397,0.00061846106272225941,397,2.9280544282845917,689
2012,3,15,30.914904028144807,430,18.725810651306844,430,11.0,430,0.00072384847543345587,430,2.8871842963120464,712
2012,3,16,32.613356766256594,427,17.556884958659911,427,12.0,427,0.00079086115992970123,427,2.9344389116798308,731
2012,3,17,32.152667892849188,538,18.567929197738479,538,11.0,538,0.00071339671753536005,538,2.9299314823784326,861
2012,3,18,31.754627181385509,591,16.794122147692672,591,12.0,591,0.00079795189472951149,590,2.8719892448302264,945
2012,3,19,33.151439403204108,568,17.169746369615318,568,11.0,568,0.00086182480074788864,568,2.9254607512639605,945
2012,3,20,35.469286109573879,561,17.870046388184925,561,12.0,561,0.00076954951755164858,561,2.8928591999341338,938
2012,3,21,34.437535302336642,566,17.270563508033263,566,12.0,566,0.00083995119937956084,566,2.887952931293873,975
2012,3,22,35.183988869493405,552,16.037192435448723,552,12.0,552,0.0010004480691550132,552,2.8855159181932342,924
2012,3,23,31.854207440673818,496,17.622476799521181,496,11.0,496,0.00079639172042950883,496,2.9272818938421015,838
2012,4,0,31.766027140851662,325,15.977229288240636,325,12.0,325,0.00075875732411583691,323,2.8911756901640193,570
2012,4,1,34.353189691592732,281,16.888358946533796,281,12.0,281,0.00089328660757232185,281,2.8878089329505734,444
2012,4,2,29.835456475583864,195,19.342302706661346,195,11.0,195,0.00066533599467731206,195,2.9305784958170005,299
2012,4,3,29.064558058925478,161,19.256905200595181,161,12.0,161,0.00099596633633783176,161,2.9288981019369604,238
2012,4,4,30.017145746457814,122,19.029429200373336,122,12.0,122,0.00070161392475442063,122,2.8909553338188769,209
2012,4,5,32.246844055955521,98,21.071926909887218,98,12.0,98,0.0004759987619506052,98,2.8955942253793188,178
2012,4,6,27.053323523442259,96,21.719093607310398,96,11.0,96,0.0005131618872472655,96,2.9222761309060017,170
2012,4,7,29.458719507968631,140,20.255764097845841,140,11.0,140,0.00058718897569535067,140,2.9162057226312825,240
2012,4,8,29.715674657031698,210,19.409014120058181,210,10.0,210,0.00069961598211246189,210,2.9131672108964768,332
2012,4,9,32.246831198444099,212,20.546484527601045,212,11.5,212,0.0006809796432289798,212,2.8429361592703279,339
2012,4,10,35.276276142784852,258,19.476811359313331,258,12.0,258,0.00095660921921483463,258,2.8884914667661614,425
2012,4,11,30.844277673545967,237,19.677259745981633,237,11.0,237,0.00076452599388379206,237,2.9516960590101626,427
2012,4,12,30.928152492668623,309,17.758030873829437,309,11.0,309,0.00080575539568345325,309,2.9210108785617406,494
2012,4,13,30.745783132530121,345,18.503208088109357,345,12.0,345,0.00076667518527983648,345,2.9284980333479607,557
2012,4,14,33.171350239890337,341,19.000031220541807,341,12.0,341,0.00067600193143408976,341,2.9217475246162916,566
2012,4,15,31.056306306306308,331,17.58594454712539,331,11.0,331,0.00070536074163643687,331,2.9456591348514514,589
2012,4,16,31.321700507614214,415,17.189136912950644,415,11.0,415,0.00073685579298686662,415,2.8857206086685379,684
2012,4,17,32.087700721151606,410,17.923952956079084,410,11.0,410,0.00079108089920740287,410,2.9329484554537419,693
2012,4,18,32.665859786813954,482,19.262346977395275,482,11.0,482,0.00066437048214539485,482,2.8927852287611038,810
2012,4,19,34.289971100080578,560,17.6453692371011,560,11.0,560,0.00066002326241457968,560,2.9220736449172398,922
2012,4,20,35.353488976776646,586,16.837534669174964,586,11.0,586,0.00077050043020448361,586,2.9058343274439196,953
2012,4,21,33.55037590092185,604,17.463953342297486,604,11.0,604,0.00068016623365787425,604,2.8876803164208793,1012
2012,4,22,36.977077363896846,521,15.766703229373702,521,12.0,521,0.00076824583866837387,521,2.9287373670397456,869
2012,4,23,34.143189755529683,459,17.730917407137888,459,11.0,459,0.0007646512644054836,459,2.8887531738475367,771
2012,5,0,32.541607534511677,295,17.40894588353952,295,11.0,295,0.00085594884446905993,295,2.8689001720029745,555
2012,5,1,32.384983071101374,259,19.253505411420004,260,11.0,259,0.00081273492506135658,260,2.926414311600861,436
2012,5,2,28.888839906541165,180,17.671353502523822,180,11.0,180,0.00075653868692933607,180,2.9044878742351496,296
2012,5,3,31.979223619464189,127,13.240176932739352,127,11.0,127,0.001135275126831518,127,2.8874283098291933,220
2012,5,4,32.184461391801719,99,18.660779060041143,99,12.0,99,0.00081678493031803559,99,2.8479579513525777,188
2012,5,5,28.348375446754375,84,17.987020644377662,84,11.0,84,0.00070047292967085999,84,2.8405634415029475,144
2012,5,6,27.041075050709939,91,22.340178191346375,91,11.0,91,0.00051198033995494569,91,2.9297885615543615,184
2012,5,7,28.556942601233878,112,21.549785048237887,112,11.0,112,0.00050653601253373547,112,2.9539836939844659,223
2012,5,8,31.535419382877009,147,19.78777672749986,147,12.0,147,0.00066840451841454452,147,2.9578999163344264,271
2012,5,9,35.744744744744743,209,19.474179511873469,209,12.0,209,0.00070305830362075029,209,2.8882525594026327,351
2012,5,10,29.093803297328027,237,21.90260584902915,237,11.0,237,0.00076483785437487248,237,2.9651248121256941,415
2012,5,11,30.566227464299846,258,21.449123417350478,258,11.0,258,0.00064432773495415752,258,2.965074663629371,425
2012,5,12,33.322112211221125,249,20.456304909163642,249,12.0,249,0.00072138757331493273,249,2.8833322690743972,425
2012,5,13,32.004353504571178,267,20.405701154907675,267,12.0,267,0.00066598360655737701,267,2.903711886213078,485
2012,5,14,34.198830409356724,313,18.802524746340715,313,11.0,313,0.000607810363166692,313,2.9355514635025113,527
2012,5,15,32.369085173501574,403,17.459797885370875,403,12.0,403,0.00084674005080440302,403,2.9660800658576556,643
2012,5,16,30.934064929126656,360,18.365113718094019,360,11.0,360,0.00078716492882531281,360,2.9281375527830216,570
2012,5,17,31.035287602796188,404,18.917239445718579,404,11.0,404,0.00064525735841564503,403,2.8931653690709807,642
2012,5,18,34.213797814207652,397,18.026232957982479,397,12.0,397,0.00066571077427283901,397,2.9495945801497028,669
2012,5,19,35.321543408360128,439,16.645386454733192,439,11.0,439,0.0007669888019634913,439,2.890679629195458,750
2012,5,20,36.281358982444956,476,17.034169578363944,476,11.0,476,0.00078655330214945796,476,2.9201607538174859,820
2012,5,21,33.519926425505822,497,17.524242223919892,497,11.0,497,0.00075333620318553595,497,2.9247100827215107,862
2012,5,22,34.537915742793793,423,14.835432209636155,423,11.0,423,0.0011243994684657058,423,2.8878996865992104,768
2012,5,23,34.871794871794869,363,15.928517243015714,363,12.0,363,0.00085929108485499465,363,2.8913067112760396,654
2012,6,0,34.228408592722488,157,16.949636895049576,157,12.0,157,0.00062157427812623608,157,2.9304261773696361,252
2012,6,1,33.482263058024571,106,16.066735888280881,106,12.0,106,0.00065459462982168069,106,2.8534973405287705,174
2012,6,2,29.037556002444123,82,22.48059667915706,82,11.5,82,0.00055261377626930326,82,2.8487693796499762,158
2012,6,3,31.686596174753003,62,19.951371175722787,62,12.0,62,0.00060847990479803292,62,2.8764482876647381,116
2012,6,4,34.483240361356565,50,18.811303306633679,50,12.0,50,0.00075334989776210701,50,2.77073199862987,68
2012,6,5,33.124576271186442,43,22.420696567798405,43,13.0,43,0.0008085381630012937,43,2.7725859137943152,65
2012,6,6,32.359484010008842,50,22.680201536486244,50,13.0,50,0.00057244545230294356,50,2.8503988933013829,81
2012,6,7,32.070622854340364,51,22.24583119482347,51,11.0,51,0.00059790732436472351,51,2.8082124015475247,89
2012,6,8,33.515159474224809,62,21.741699980967496,62,12.0,62,0.00070550881478660394,62,2.8393834676033145,126
2012,6,9,30.541540564287807,111,22.509373949368232,111,12.0,111,0.00060054048643779401,111,2.8829387622682696,177
2012,6,10,39.743354469192042,110,19.331945341242626,110,12.0,110,0.00079570913463722598,110,2.8868938047706054,186
2012,6,11,32.745005890167178,142,18.89146519139743,142,12.0,142,0.00067619081578624001,142,2.8499115920963831,231
2012,6,12,33.641838351822507,143,20.481267378954517,143,12.0,143,0.00086038326163472814,143,2.8917031997403431,229
2012,6,13,32.057310422883013,149,21.2837143829071,149,11.0,149,0.00046930730242162569,149,2.93359050618872,243
2012,6,14,31.878873302899418,142,21.085165673482216,142,11.0,142,0.00057664850526871285,142,2.8523475800852998,219
2012,6,15,34.34573818078276,188,19.707168409125444,188,12.0,188,0.00077105664959248657,188,2.893133743834488,292
2012,6,16,30.77466581795035,161,18.394222797097527,161,11.0,161,0.00067850277055297981,161,2.9308116611817518,275
2012,6,17,29.799265620750589,186,18.601417465713734,186,11.0,186,0.00052128772400865029,186,2.9315270977088024,287
2012,6,18,31.239960917491583,198,18.252692701375494,198,11.0,198,0.00091040196930285632,198,2.8966106406845338,344
2012,6,19,37.262046881330775,234,14.00965546935436,234,12.0,234,0.00096273859277351981,234,2.8525819912135746,360
2012,6,20,34.80629539951574,253,15.505959789592165,253,12.0,253,0.0010408234069619522,253,2.815859403448592,389
2012,6,21,33.04245283018868,271,16.412498018777146,271,12.0,271,0.00065703022339027597,271,2.847790715120992,433
2012,6,22,32.644333124608643,241,18.679661819085887,241,12.0,241,0.00060416323392101939,241,2.8880771059014152,377
2012,6,23,33.334956709956707,183,17.565193843033917,183,12.0,183,0.00076241175460548135,182,2.896125435973754,302
2012,7,0,34.707223481973131,368,16.994389139252711,368,12.0,368,0.00089047231155254224,368,2.8920499265984896,570
