year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,1,92.859478618797169,63,7.0481712631767746,63,54.0,63,0.0055008685581933985,63,1.111413969698438,83
2014,10,2,91.771517302573201,123,6.1453361413017795,123,54.0,123,0.0046102263202011731,123,1.0340373552439353,185
2014,10,3,84.127071823204417,183,5.0161485161549733,183,46.0,183,0.004940711462450593,183,1.2962736244902113,230
2014,10,4,89.960604928485736,140,5.046030395733295,140,58.0,140,0.0042411951816162946,140,1.1136771226407327,180
2014,10,5,97.217131474103581,137,4.8205426553785315,137,57.0,137,0.0050505050505050509,137,1.154288630949041,190
2014,10,6,122.87561697926949,125,4.5756641045493041,125,64.0,125,0.0058614564831261104,125,0.86222846194980252,161
2014,10,7,100.08573267358753,122,4.237038891792416,122,60.5,122,0.00589980313860561,122,0.91556349303185025,181
2014,10,8,95.973316391359589,129,4.5346227407845516,129,60.0,129,0.0047414171569057865,129,1.1554916963716453,166
2014,10,9,87.561796405496153,124,6.0576567400600521,124,57.5,124,0.0048147187704307504,124,1.0483283097095013,180
2014,10,10,80.209871376842301,142,8.574732824219927,142,47.0,142,0.0028377399649737339,142,1.4298358660958954,185
2014,10,11,81.594193112761644,189,8.2943711815010559,189,43.0,189,0.0039156098416223478,189,1.3899558677752597,225
2014,10,12,81.634771326629902,141,6.180815620598219,141,54.0,141,0.0042152243987106375,141,1.1958975909358007,182
2014,10,13,80.893866834296205,146,7.3046844252450844,146,50.0,146,0.0031561232110657251,146,1.1316339057957814,188
2014,10,14,83.633632910044525,128,6.1247211786299527,128,50.0,128,0.0040456007485105798,128,1.1541670690706312,154
2014,10,15,88.48849478055898,145,6.5660338067224355,145,49.0,145,0.0055197792088316471,145,1.3943045755785768,175
2014,10,16,83.666202256011928,138,8.2473050423067171,138,40.0,138,0.0033253447787729255,138,1.3992633943688877,185
2014,10,17,93.351481063806318,124,6.6866478738557618,124,46.5,124,0.003793917282484939,124,1.0761382453475123,167
2014,10,18,76.992592592592587,191,7.5644595541917727,191,44.0,191,0.0054409828872312421,191,1.3879530522366172,214
2014,10,19,81.662653391988883,153,6.3118089969542757,153,52.0,153,0.0050577425609036504,153,0.99300323733040807,212
2014,10,20,106.36769138034961,123,5.5200737623732943,123,51.0,123,0.0032948929159802307,123,1.0580484403861301,188
2014,10,21,89.187421383647802,171,7.0970121496921674,171,49.0,171,0.0052310374891020054,171,0.87112244597856248,218
2014,10,22,91.795238095238091,127,6.1805967839182046,127,49.0,127,0.0042641465944450851,127,0.76801755705692487,189
2014,10,23,95.855040021193247,112,5.7489390703013363,112,52.0,112,0.0045335701168877952,112,0.77134237848624854,173
2014,10,24,90.013793852241477,132,5.1429158678028664,132,49.0,132,0.0051016783019231342,132,1.1965580879524178,183
2014,10,25,84.927631780869461,144,4.8033388731715094,144,45.0,144,0.004900315314198175,144,1.0480565403241859,211
2014,10,26,93.20920493991764,180,3.8039742085017285,180,53.0,180,0.0060630119165428504,180,1.2919297178216365,212
2014,10,27,87.451036354654576,188,4.98624047031731,188,52.0,188,0.0053078211873179163,188,1.1567769246453821,225
2014,10,28,99.0593253968254,92,4.79227324021954,92,57.5,92,0.0053638661352532081,92,0.83839749356032056,121
2014,10,29,92.108719034342357,122,4.87149960738091,122,53.5,122,0.0060536918948391368,122,1.2397255645518928,152
2014,10,30,90.959038567081137,124,6.101606181678104,124,57.5,124,0.0042538628900500221,124,1.2386669737090445,164
2014,10,31,88.392224868425387,112,8.4592460052726146,112,47.5,112,0.0050557578119087634,112,1.2581290153235831,144
2014,11,1,96.661024787690479,130,6.1781267882825066,130,58.5,130,0.0044590552647960115,130,1.3546360459554478,178
2014,11,2,84.509910914172622,180,7.0712270342542389,180,47.0,180,0.0044708138636379915,180,1.2302748541350743,220
2014,11,3,76.254681308118919,128,6.3662895699558977,128,49.0,128,0.0058341059085178296,128,1.1890750464217843,147
2014,11,4,93.964344262295086,143,4.6713538351625994,143,56.0,143,0.0061265316329082269,143,1.1066236261304963,177
2014,11,5,92.849243215565792,114,4.7549279746706716,114,45.5,114,0.0061612759197165303,114,1.2276886086171652,146
2014,11,6,106.80346468891392,130,3.1183070111259954,130,51.0,130,0.005046135577721024,130,1.1528050510146055,162
2014,11,7,75.676770482012671,144,6.0189556581141872,144,45.0,144,0.0042164234114698516,144,1.1487415926928912,173
2014,11,8,88.12607544672403,171,5.4540084668437139,171,45.0,171,0.0032072162365321976,171,0.76606055319310351,232
2014,11,9,98.557943461729209,147,4.8394133244471949,147,59.0,147,0.0062771607918879766,147,1.1873176266238803,177
2014,11,10,99.492898272552779,123,4.3055111692643049,123,60.0,123,0.0074586531185817746,123,1.1457596118834941,162
2014,11,11,106.45562130177515,141,4.351009179071454,141,61.0,141,0.0058598151904439939,141,1.1857361921218545,167
2014,11,12,95.495218000380476,186,6.7944299383390225,186,48.0,186,0.0047280966964823746,186,1.161029312737365,246
2014,11,13,96.326105527638191,154,5.0501037519718963,154,51.0,154,0.0046933990725257294,154,1.0901316646797183,203
2014,11,14,94.812646627565982,158,4.4082348430759595,158,59.5,158,0.0055741081681991763,158,1.210759297678943,195
2014,11,15,86.077697841726618,189,5.0469621631805737,189,53.0,189,0.0050067658998646817,189,1.1437848909694466,229
2014,11,16,107.1605877405439,190,4.1825944374273032,190,60.0,190,0.0073452129266082756,190,1.0766998472510774,230
2014,11,17,93.562814070351763,161,5.8932242785510676,161,64.0,161,0.0047358834244080146,161,1.1916261782168673,200
2014,11,18,94.083498023715421,147,4.0702445377642453,147,59.0,147,0.0050665521683125802,147,1.156609189863433,174
2014,11,19,95.115731311975594,170,5.1756063243423291,170,56.0,170,0.0052790426196041365,170,1.1566085158617694,234
2014,11,20,110.00720949957591,167,4.3961155323558776,167,66.0,167,0.0067838421214924454,167,1.3529851674632796,189
2014,11,21,101.77748256057312,148,4.1664624499849152,148,61.0,148,0.0054962695395416507,148,1.3046742691840723,193
2014,11,22,92.333014811275675,249,6.4464656842120087,249,58.0,249,0.0040650406504065045,249,1.3965492218286617,309
2014,11,23,98.820660450868672,194,4.7385941005669325,194,56.0,194,0.0057199708864911327,194,1.2352516655513461,252
2014,11,24,119.07556728785707,150,4.279375116092508,150,69.0,150,0.0057447982633262468,150,1.3508775696600126,174
2014,11,25,131.68221070811745,129,2.4787289468008842,129,85.0,129,0.0082899869960988293,129,1.0187991423987932,163
2014,11,26,102.57221655788612,124,4.3377173045768149,124,57.0,124,0.0057740399582958393,124,1.146319741723838,162
2014,11,27,80.836821730017135,144,6.4644326947927553,144,47.0,144,0.0046087693819863336,144,1.4275239771552213,171
2014,11,28,85.719792438843584,133,5.4625747539118477,133,49.0,133,0.0048462929475587705,133,0.77902751046521101,191
2014,11,29,75.348279044511244,194,7.9763746775058832,194,47.0,194,0.0046317703018023543,194,1.3918517334698226,231
2014,11,30,87.064265247646333,199,4.836790947907402,199,53.0,199,0.0057418656902721143,199,1.274739385368806,235
2014,12,1,91.953231122236133,158,4.0188167587386747,158,63.0,158,0.0054830160900016566,158,1.2720096652383879,205
2014,12,2,85.12239445076986,154,5.6821107874704371,154,50.5,154,0.0042512771337988951,154,1.1503301513953912,189
2014,12,3,91.957822696164257,111,4.4768158970305274,111,61.0,111,0.0065541536949041456,111,1.0582565933592314,166
2014,12,4,126.1331592689295,159,2.7372297151968672,159,68.0,159,0.0083376758728504422,159,0.78949469894722246,192
2014,12,5,102.29223744292237,127,4.0084675720112335,127,59.0,127,0.0048030739673390974,127,1.1010619198311533,168
2014,12,6,89.312313989654683,136,5.9253102654846392,136,53.5,136,0.0046967727047808119,136,1.1654699681854874,169
2014,12,7,88.80561936227295,164,4.4482397956355726,164,52.5,164,0.0056549047224937893,164,1.1935073353931018,209
2014,12,8,87.882720491320555,130,4.8389503290902738,130,56.0,130,0.0046370036861002311,130,1.0306087279742391,162
2014,12,9,124.01719326790182,130,2.7400397693355876,130,57.5,130,0.0077012303200917533,130,1.1478824856958423,150
2014,12,10,94.769388803287114,129,5.1028040223658238,129,51.0,129,0.0075343298092113258,129,1.2821756242688376,152
2014,12,11,98.682795698924735,165,4.8550345752287383,165,50.0,165,0.0044104675095560132,165,1.0358896192012756,199
2014,12,12,84.503169614319205,124,6.4959026082987759,124,55.5,124,0.0055311010135792272,124,0.99599834697588774,160
2014,12,13,98.23181499330849,148,6.1270137213944267,148,52.5,148,0.0044547917147315513,148,1.1208806200374539,201
2014,12,14,87.824795525622818,178,6.092055085352257,178,61.0,178,0.0043584470629496833,178,1.2555741339846116,218
2014,12,15,91.858208955223887,127,5.5404811814877553,127,51.0,127,0.004878964158378683,127,1.1957113547172737,170
2014,12,16,109.59868421052632,143,4.5462187608405111,143,62.0,143,0.0062208398133748056,143,0.79162329814662424,204
2014,12,17,95.662488404147837,120,3.8517461401664459,120,60.0,120,0.0065566713045288726,120,1.1664532754163592,152
2014,12,18,124.04969696969697,171,3.405896133852679,171,64.0,171,0.0075997466751108293,171,0.74640460926994545,228
2014,12,19,101.77480063795853,155,5.2545199814246129,155,65.0,155,0.0046376811594202897,155,1.1325542345350519,204
2014,12,20,102.97228489771359,164,5.9466869687941486,164,58.5,164,0.0054045029052793223,164,1.1846349594948029,210
2014,12,21,83.480291970802924,165,5.7113768928509803,165,60.0,165,0.0040899795501022499,165,1.2901867467564649,191
2014,12,22,102.56652400053713,152,4.737331523295528,152,58.0,152,0.0050393775616182261,152,1.1557252644673679,176
