year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,0,96.003314917127071,141,5.3439906192683111,141,51.0,141,0.0054804530507855317,141,0.99476736217100203,215
2014,10,1,76.387706855791961,117,6.2158405805663257,117,45.0,117,0.0049615301646652767,117,1.1388437011109462,163
2014,10,2,95.494804308252426,92,6.6598179431768401,92,55.5,92,0.005947620779830836,92,1.3328500379528485,126
2014,10,3,87.419191919191917,65,5.7942758305835893,65,51.0,65,0.0040160642570281121,65,0.91555403907523347,111
2014,10,4,78.2093306838172,52,9.7883303903006578,52,40.0,52,0.0044736239969897316,52,1.4321635939943178,67
2014,10,5,88.936505143155102,78,7.2658914291772909,78,45.0,78,0.0044347860289490251,78,0.87991633002092051,106
2014,10,6,83.589597027722206,79,5.9861018408247331,79,45.0,79,0.0039700618288317606,79,0.915314349197202,105
2014,10,7,84.859577795152461,99,5.3183016148369484,99,45.0,99,0.0054179566563467493,99,0.61862181155094931,159
2014,10,8,71.284360189573462,127,7.0801376603110606,127,44.0,127,0.0043506634761801173,127,1.0781950926081356,170
2014,10,9,74.481117155539806,132,7.3323900485768672,132,47.0,132,0.0049242489233567253,132,1.0826490142695937,188
2014,10,10,77.546187210839392,190,8.7704793035894255,190,43.0,190,0.0035642217306054319,190,1.3518896857568934,251
2014,10,11,73.562634833884658,187,7.7023157311750472,187,46.0,187,0.0039202874877491013,187,1.3487384578275221,241
2014,10,12,91.182297776026019,186,5.8018973336792854,186,53.0,186,0.0032753959595311125,186,1.0336544035657564,251
2014,10,13,79.470420375119431,178,7.312817182391508,178,47.0,178,0.0039260702566212037,178,1.3853462723913004,224
2014,10,14,84.773267653359625,210,5.2647392480751591,210,55.0,210,0.0048788445502311387,210,1.3191627323337796,264
2014,10,15,86.347407067462143,199,5.4145766118099656,199,52.0,199,0.0039626379847155389,199,1.3375580912805971,260
2014,10,16,93.671408250355626,253,6.7671798719944034,253,52.0,253,0.0036115052237843414,253,1.1556175897281626,325
2014,10,17,93.298742138364773,219,5.7713337626483456,219,50.0,219,0.0060765087695069742,219,1.1871695260431703,282
2014,10,18,85.033104041272566,271,6.2595718103860145,271,50.0,271,0.0043383947939262474,271,1.1546901098874394,345
2014,10,19,97.022391420495367,294,4.6555788645874498,294,58.0,294,0.004623868164313651,294,1.1529497586702409,385
2014,10,20,106.46687864334923,299,4.6290436083699031,299,63.0,299,0.0056019206585114899,299,1.1546454347479296,360
2014,10,21,100.8446793145249,334,4.8986768984608569,334,63.0,334,0.0055989438902583908,334,1.212630927756333,410
2014,10,22,100.5759027627887,282,5.7267512774803446,282,56.5,282,0.0051033505025023752,282,1.1717359683596995,353
2014,10,23,86.211667537733547,186,6.5113182624498549,186,49.5,186,0.0049575341911532352,186,0.93115557810024741,262
2014,11,0,82.41644562334217,175,7.6283637946048604,175,52.0,175,0.0034232618795337843,175,1.3016275399843276,211
2014,11,1,82.667651888341538,135,6.4726837393467287,135,50.0,135,0.0053254437869822485,135,1.1854778242965431,177
2014,11,2,89.594720496894411,95,8.1544648424063908,95,53.0,95,0.0040454333281468805,95,1.2250158201267283,142
2014,11,3,80.76129269598394,82,7.4141644819402615,82,57.0,82,0.0043544269898045281,82,1.2751083750116856,114
2014,11,4,71.787592175343491,80,8.4412141212036182,80,45.0,80,0.0030514873241695955,80,0.90462167379798575,110
2014,11,5,65.619366683701472,54,12.14332994735898,54,43.5,54,0.0028201616933273515,54,1.0644089004251516,80
2014,11,6,75.37979980917153,80,9.1908338630532391,80,44.0,80,0.0031515630580403698,80,1.3758482820151954,105
2014,11,7,70.06671649987922,128,7.0430908548423448,128,45.0,128,0.0047642920164412093,128,1.057753899825649,158
2014,11,8,73.074550157194139,148,6.0255654447985147,148,46.0,148,0.0044183848548305753,148,1.1491372373971571,189
2014,11,9,79.420495465639448,166,6.5236520173578718,166,47.0,166,0.0046412031292923095,166,1.0948254988398225,221
2014,11,10,92.973604060913701,193,5.5963671143374691,193,53.0,193,0.0050535077288941738,193,1.3276012158668227,228
2014,11,11,92.084205518553759,209,5.3596193377213615,209,46.0,209,0.0046311082721175343,209,1.2279894690045294,248
2014,11,12,86.614264919941775,205,5.9471643289620353,205,48.0,205,0.0042305658381808567,205,1.2368407992684711,266
2014,11,13,92.753241964019026,182,5.7709325278834109,182,51.0,182,0.0054801767868874109,182,1.1449680267954334,237
2014,11,14,74.393316195372748,177,6.3996174354046831,177,46.0,177,0.0051031256644694873,177,1.3142263180320071,228
2014,11,15,87.558547495024698,232,5.9322388552465739,232,53.0,232,0.0041515856601172015,232,1.1176247274252384,290
2014,11,16,82.367225535973574,286,6.7097404459901462,286,45.0,286,0.0026356891839125342,286,1.2650164262836405,368
2014,11,17,91.399327685985838,248,4.90563093137553,248,50.0,248,0.0051229319895170567,248,0.9332300297694005,330
2014,11,18,101.47201975871936,296,4.336291460010699,296,56.0,296,0.0061909922547917669,296,1.1476028042705475,347
2014,11,19,132.54390440729097,332,2.5480794454028279,332,82.0,332,0.0087139089896686537,332,1.2313967015878367,367
2014,11,20,136.25572376473619,350,1.8428016807296808,350,109.5,350,0.0089045652211969285,350,1.1843218670321489,433
2014,11,21,133.17886178861789,383,1.9145367460205389,383,95.0,383,0.0089858793324775355,383,1.1494656099083831,452
2014,11,22,103.05494300130816,293,4.145605467831035,293,56.0,293,0.0057602542457046383,293,1.186157939021508,351
2014,11,23,82.093950132090498,208,7.1058247751306647,208,50.5,208,0.0048546515413584127,208,1.1523947707154321,270
2014,12,0,84.274199225624784,159,6.890492492078935,159,53.0,159,0.0059972320467476551,159,1.1985829434734354,202
2014,12,1,89.111091228922902,124,5.4338591362522557,124,55.5,124,0.0042482592066322572,124,0.95019418332646488,168
2014,12,2,77.326986211424824,85,9.0796928993259396,85,47.0,85,0.0053712015304245454,85,1.2378872089575508,113
2014,12,3,78.012206279891871,74,7.6206481684380574,74,43.5,74,0.0053387951779841937,74,1.115381792459353,117
2014,12,4,95.720163209792588,65,4.1830344936726211,65,52.0,65,0.0041059330732909054,65,0.80619171334335027,82
2014,12,5,81.109922402314169,60,5.0946241061537805,60,44.0,60,0.0040560825420626976,60,0.73329917064399752,73
2014,12,6,87.135973194192644,70,7.1921669099351879,70,47.0,70,0.0058900028411275982,70,1.1568975016924272,86
2014,12,7,79.397209571838587,84,7.1951249246453255,84,45.5,84,0.0037488375505130029,84,1.1824585463756496,110
2014,12,8,76.586620384979483,119,7.4643400018323263,119,46.0,119,0.0039233787214401107,119,1.1133590478277882,149
2014,12,9,93.74302456624892,122,5.4557891499024702,122,49.0,122,0.0048958809983738177,122,0.9668532613895352,184
2014,12,10,85.546226961320258,152,6.7946537149775317,152,53.0,152,0.0053154652268490362,152,1.1452237638858311,202
2014,12,11,93.382631263612069,192,6.3734160378916993,192,50.5,192,0.0039455240138042856,192,1.095047306244231,238
2014,12,12,87.749395227198434,160,6.2308223983594839,160,51.5,160,0.005010101770633337,160,1.0514707910670889,186
2014,12,13,82.664394677052911,189,5.2624519648483421,189,50.0,189,0.0045475216007276036,189,1.1982453976503675,235
2014,12,14,86.662186379928315,173,5.6498369706699894,173,50.0,173,0.0047406362639084779,173,1.1965933169391707,215
2014,12,15,89.978850812034864,216,5.4141754821625794,216,56.0,216,0.0052265730707569159,216,1.1554773365936839,273
2014,12,16,86.279161724001582,219,4.7247411984552965,219,57.0,219,0.0040799673602611181,219,1.0757478387542667,280
2014,12,17,93.182692307692307,221,5.935826283443542,221,53.0,221,0.0054753028890959926,221,1.1950942344520221,271
2014,12,18,96.279513539962906,288,4.28330838910537,288,62.0,288,0.0058448680919541973,288,1.1526204069599331,334
2014,12,19,130.45700518902891,259,3.1523889589307652,259,77.0,259,0.0075709779179810727,259,1.1458753763188703,301
2014,12,20,133.61147902869757,297,2.3089368426638575,297,104.0,297,0.0074101519081141163,297,1.1058222273430824,370
2014,12,21,131.13876146788991,321,2.1418810408527866,321,100.0,321,0.0099780145442245893,321,1.1184916591481437,380
2014,12,22,108.49024707412224,281,4.4023724049677924,281,65.0,281,0.0058241118229470003,281,1.196569193507294,361
2014,12,23,81.854198747103695,228,7.3247504706811002,228,48.0,228,0.0037878710112349487,228,1.2905345942114135,298
