year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,10,1,64.675465462144132,72,7.8755222342327222,72,37.5,72,0.0022930233210197602,72,4.612058811023239,104
2014,10,2,75.957034320146718,141,11.286747039582451,141,48.0,141,0.0031994232025775635,141,4.5615129306790321,245
2014,10,3,68.676240208877289,127,13.996066419554072,127,42.0,127,0.0010427528675703858,127,4.5706475114323091,214
2014,10,4,81.68836265676606,150,12.65010520043441,150,50.5,150,0.0026522032427424768,150,4.6168987626630367,230
2014,10,5,68.619070782565444,168,9.3337529525828362,168,37.5,168,0.0030168861307482732,168,4.5719013909568842,251
2014,10,6,73.506086956521742,113,12.317666870894961,113,42.0,113,0.0014587892049598833,113,4.5646997757969414,185
2014,10,7,74.893146446713018,120,11.436812089873877,120,45.0,120,0.0019396445414135441,120,4.606178646914846,211
2014,10,8,64.45043291074731,138,15.255010153087966,138,39.5,138,0.0012981904833866006,138,5.3849549902042622,208
2014,10,9,68.99196787148594,95,13.229934942814852,95,33.0,95,0.0018185850521179863,95,5.7111925851987584,176
2014,10,10,62.646640395404759,114,13.309616955154455,115,28.5,114,0.0014168937329700274,115,5.3026966860508224,170
2014,10,11,68.842222635197913,167,11.467244569900952,167,33.0,167,0.0018716077110237693,167,4.606846071225668,268
2014,10,12,75.149176954732511,131,14.052355941072404,131,43.0,131,0.0018995356690586745,131,4.5718055449490116,234
2014,10,13,69.999231950844859,129,13.391921473704162,129,30.0,129,0.0012406015037593986,129,4.6050032820186493,223
2014,10,14,73.97557040621146,130,10.408772297969078,130,44.0,130,0.0016402389543202734,130,4.84183575117705,207
2014,10,15,66.883488681757655,99,10.310873903722619,99,30.0,99,0.0011465698452130708,99,5.0409172157446394,205
2014,10,16,67.778827977315686,135,14.4120673566434,135,36.0,135,0.0015100671140939597,135,5.0203877331545499,242
2014,10,17,74.727339044487692,134,9.4465803761808473,134,34.0,134,0.0023011421212565941,134,4.6141977070736431,210
2014,10,18,73.315289395081066,132,10.051991897519141,132,32.0,132,0.0018867638713926369,132,4.5754734176424829,238
2014,10,19,76.911485774499468,159,11.741112379402646,159,45.0,159,0.0026552868658131818,159,4.6000983854833883,262
2014,10,20,78.941798941798936,119,11.585201253383392,119,43.0,119,0.002172096908939014,119,4.6148950301866609,191
2014,10,21,86.714172536805307,102,10.146343932458183,102,45.0,102,0.0020285461838024923,102,4.5767390339395071,176
2014,10,22,79.23028113665211,94,10.682095773157233,94,41.0,94,0.0026973347867640229,94,4.6125010172279932,155
2014,10,23,66.698681732580042,127,14.642218833762767,127,38.0,127,0.0018153526970954357,127,4.6100792632089256,186
2014,10,24,77.758472767963156,118,12.284837893759242,118,43.0,118,0.0021940265398644569,118,4.6226273564639184,192
2014,10,25,72.593967517401396,127,10.393105433966943,127,46.0,127,0.0028571428571428571,127,4.6777361372335902,225
2014,10,26,74.90187729823883,153,12.209981626518708,153,43.0,153,0.0017978682419416978,153,4.6488120762562932,254
2014,10,27,76.122994652406419,113,9.6843727532011279,113,41.0,113,0.0023842638585336779,113,4.5378887483622918,188
2014,10,28,76.425568181818178,111,11.649641935088043,111,45.0,111,0.0046736502820306208,111,5.1842958615960075,181
2014,10,29,70.901261049885392,108,8.1422000058497215,108,47.0,108,0.0036920725078655042,108,4.5731927835126616,179
2014,10,30,77.669489643845623,112,10.363634005415115,112,45.0,112,0.0034472992029915546,112,4.5321149967286978,186
2014,10,31,76.128842380640947,105,13.145502081213015,105,43.0,105,0.00205761316872428,105,4.5938401003219855,160
2014,11,1,79.209011264080104,109,13.02235333606373,109,50.0,109,0.0030557677616501145,109,4.648818788869681,178
2014,11,2,86.950153687848768,166,7.8088632273685548,166,47.5,166,0.0035547820003015247,166,4.5246785591989669,275
2014,11,3,67.994212655061389,100,15.076565481727588,100,33.5,100,0.0012143682915972166,100,4.5984979351770372,171
2014,11,4,75.465397923875429,99,12.857506051268295,99,32.0,99,0.0029605263157894738,99,4.6221971451977799,183
2014,11,5,78.38473456807948,106,9.2618102409610934,106,39.0,106,0.0036565983761632781,106,4.5536594830470492,161
2014,11,6,71.492957746478879,111,10.560989381720351,111,40.0,111,0.0016650300986210136,111,4.6885662041268787,162
2014,11,7,73.813154979977853,123,10.921568792622946,123,42.0,123,0.0025453928389614798,123,4.5940253973865364,181
2014,11,8,74.957746478873233,119,8.1843140882193595,119,44.0,119,0.001876483249627463,119,4.4871595877726183,168
2014,11,9,79.037630662020902,145,12.827761994092404,145,51.0,145,0.0015182186234817814,145,4.4724035280932766,234
2014,11,10,80.794512127621147,110,10.307889623155415,110,46.5,110,0.00124037584195364,110,4.7650760637138339,188
2014,11,11,76.755403158769738,99,14.456569174276787,99,45.0,99,0.0013817359628187414,99,4.5292812137834062,172
2014,11,12,80.393899204244036,95,10.117897714970336,95,53.0,95,0.0025671743967140169,95,4.4168529610262643,152
2014,11,13,66.150624356574014,92,13.461500101259698,92,36.5,92,0.0024209954239133862,92,4.6101313384653535,172
2014,11,14,79.556751126263663,124,11.699140601049224,124,46.5,124,0.0018031672737487494,124,4.5509704399572879,174
2014,11,15,67.63110008271299,141,15.044972012307531,141,44.0,141,0.0013255407603783816,141,4.5072664596408405,206
2014,11,16,76.545858417314889,128,11.779863693929949,128,46.0,128,0.0026379819849684594,128,4.39539606000071,208
2014,11,17,73.633437843925165,114,12.596212213081998,114,46.0,114,0.0017794124213585364,114,4.4925588548311266,184
2014,11,18,76.183857919536052,116,12.080731067489314,116,50.0,116,0.0024983882670929795,116,4.6221832568665011,204
2014,11,19,79.656067820109882,90,11.259005457705088,90,42.0,90,0.0026773165292663312,90,4.7298152723840863,167
2014,11,20,86.864506627393226,79,10.259295172286018,79,54.0,79,0.0044717719396310789,79,4.3830912303944656,151
2014,11,21,80.91316303643427,116,11.181018981762278,116,46.0,116,0.001446336039807031,116,4.5634070293201301,178
2014,11,22,69.948145069105266,127,11.092342483064105,127,43.0,127,0.0018947410856463285,127,4.4951179282343148,205
2014,11,23,75.926933158584532,179,7.6138954160683259,179,49.0,179,0.0022980986891369651,179,2.7844542849985032,261
2014,11,24,73.874691946895609,94,11.880950741135425,94,44.5,94,0.0017691421766001703,94,4.2926689918408201,150
2014,11,25,59.408798613785137,116,15.331699682261387,116,41.0,116,0.0017903434056310116,116,4.5764084802100502,185
2014,11,26,80.096147941094912,96,6.2478575011927067,96,52.5,96,0.0025736344826315554,96,4.2969632258696091,159
