year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,102.80374641836666,138,2.1070252023601208,139,34.0,138,0.0089808668488871538,139,0.34933839446628473,191
2012,1,2,82.140616549486211,123,2.4304124701734033,123,27.0,123,0.0078190449595085167,123,0.42443854692481842,162
2012,1,3,94.485122897800778,123,2.4970820489377714,123,28.0,123,0.0065975494816211122,123,0.5089383903930611,173
2012,1,4,85.966650488176526,94,2.6029350365384563,94,29.0,94,0.0064086112086686794,94,0.46373157604182602,136
2012,1,5,81.023457323394382,96,3.8114027312239398,96,27.0,96,0.0055701895476642843,96,0.52071131838506723,155
2012,1,6,90.261744966442947,97,2.616562132951521,97,31.0,97,0.0071451770055212735,97,0.45617268528230004,132
2012,1,7,91.582494034222094,124,2.3770577754868412,124,29.0,124,0.010183753091908571,124,0.35741499224001916,159
2012,1,8,72.746502755404833,143,2.8346075830247459,143,30.0,143,0.006384919428397689,143,0.50028086946123551,193
2012,1,9,74.353411764705882,93,2.532540028953925,93,30.0,93,0.0063251891355574847,93,0.44187853666841409,129
2012,1,10,76.137637232004877,100,4.3736718251460234,100,27.0,100,0.0042468295073548167,100,0.5218143977897195,146
2012,1,11,75.394230769230774,107,2.5228452952182563,107,26.0,107,0.0058295964125560538,107,0.5004021011323142,138
2012,1,12,83.838801711840233,105,2.8136618745250002,105,26.0,105,0.0047393364928909956,105,0.5135491545796822,139
2012,1,13,82.02598808879263,105,2.6270485056634265,105,27.0,105,0.0069959720161119352,105,0.46737618478613868,156
2012,1,14,91.613605442176876,111,2.4963709860715229,111,29.0,111,0.0051933064050779,111,0.36409176655503295,168
2012,1,15,77.160953885607,130,2.508702666896709,130,31.0,130,0.0077392161019591219,130,0.36786831754179339,174
2012,1,16,78.979078579424453,146,2.443455911856824,146,28.0,146,0.007192461077715824,146,0.4357073220397823,203
2012,1,17,73.981508515815079,79,2.7434369599759054,79,26.0,79,0.0053475935828877002,79,0.46800715140869176,120
2012,1,18,73.955308142150244,90,2.6797341600377909,90,27.5,90,0.0073614405047835842,90,0.4080143439666829,139
2012,1,19,75.252287581699349,101,3.2121440728571713,101,26.0,101,0.0045295449866172531,101,0.53495882970395259,137
2012,1,20,79.782662284305673,91,2.8030535954561291,91,27.0,91,0.0060199120166705257,91,0.51165233128280718,143
2012,1,21,79.425595238095241,101,2.5499350130225977,101,27.0,101,0.0075392670157068062,101,0.50413652576598356,154
2012,1,22,81.371244523657737,132,2.8112780565308411,132,27.0,132,0.0059434341225447981,132,0.3915449368743445,204
2012,1,23,92.944314858654792,128,1.0438560727168649,128,74.0,128,0.013792830120698974,128,0.39580495051648623,162
2012,1,24,93.921429169107185,118,2.5626099884886697,118,44.5,118,0.0079848258884031506,118,0.46716540535090129,148
2012,1,25,88.930297075148644,112,2.7708499039850123,112,39.0,112,0.0063208127352826979,112,0.52819165481166241,158
2012,1,26,76.369515205209254,100,2.5067258069835487,100,38.0,100,0.0060254546273752589,100,0.51050374491262973,149
2012,1,27,83.045290918280045,90,2.5255068506513831,90,37.0,90,0.0055816210222385219,90,0.4617579089832905,119
2012,1,28,70.685359801488829,93,2.9411016624683133,93,38.0,93,0.0071684587813620072,93,0.54613307489777507,122
2012,1,29,73.438154908493885,124,2.4778343747539089,124,38.0,124,0.0064714514571341426,124,0.52233123092082412,156
2012,1,30,74.18301561365287,98,2.4095268460940122,98,39.0,98,0.0070607260742787184,98,0.47491154845977646,142
2012,1,31,74.9635804463108,84,2.9858301512134284,84,38.0,84,0.0071046559396152238,84,0.55584705371531562,116
2012,2,1,83.688200115804307,84,3.6056575950708885,84,38.0,84,0.0064120880126633494,84,0.55063616848172359,123
2012,2,2,86.62398446514689,88,2.377418475935289,88,39.0,88,0.0061181605534966956,88,0.48348975501755831,114
2012,2,3,77.618274978650732,105,2.4771268525680492,105,39.0,105,0.0060690943043884222,105,0.51807781597982783,140
2012,2,4,84.259137769447051,87,2.4525400735611789,87,38.0,87,0.0063244952566285572,87,0.44271272748792834,122
2012,2,5,72.84420928865373,143,2.4140831473199404,143,38.0,143,0.0069077600768026708,142,0.53032410886061454,184
2012,2,6,81.912331406551061,83,2.3861399637441489,83,40.0,83,0.0083916083916083916,83,0.35696071227572096,115
2012,2,7,91.012080942313503,83,2.5275665411499291,83,39.0,83,0.0073696145124716554,83,0.36614094066701486,135
2012,2,8,83.866866866866872,97,2.6750586445465587,97,40.0,97,0.0054602184087363496,97,0.53405480080203804,132
