year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,94.436513383665059,133,2.4674532825704643,134,29.0,133,0.0074000084208100374,134,0.38530793339389102,197
2012,1,1,97.828593774646407,84,2.4775224650219014,84,37.0,84,0.0058543101510798376,84,0.36010475365111355,160
2012,1,2,91.182655410590939,95,2.4938095690446787,95,34.0,95,0.0063636363636363638,95,0.48839818723364659,148
2012,1,3,91.277298610859233,52,2.5517884709134027,52,38.5,52,0.0064031922300724188,52,0.42077222812610698,75
2012,1,4,107.60956618464961,37,2.3031693587684052,37,28.0,37,0.0089222822258746178,37,0.44315953963979804,63
2012,1,5,84.305958747135222,37,5.2291570442929949,37,31.0,37,0.003292568203198495,37,0.51302284659759678,60
2012,1,6,74.53810131971052,37,4.3555479924266223,37,28.0,37,0.0022009650385168881,37,0.53055150303123222,60
2012,1,7,70.906990256812421,54,4.1528091688643993,54,28.0,54,0.0051753043984873147,54,0.52170380104548275,83
2012,1,8,83.546316242998714,67,2.7565121246752295,67,38.0,67,0.0047126319024690094,67,0.46323989388246262,119
2012,1,9,98.816795850630427,102,2.7891958534649506,102,32.0,102,0.004813903179201798,102,0.5091763017384785,146
2012,1,10,75.034261415371759,124,2.7957443638924522,124,28.0,124,0.005064225332475406,124,0.52605241745502695,175
2012,1,11,88.406952965235178,103,2.4704503929792687,103,36.0,103,0.008795074758135445,103,0.33652072594593074,169
2012,1,12,78.808300294061709,138,2.4806556153072803,138,29.5,138,0.0067744607943199895,138,0.36605863279521805,201
2012,1,13,78.500986193293883,143,2.7883040787282352,143,29.0,143,0.0051721694771149213,143,0.516868527174839,206
2012,1,14,84.857576964435054,166,2.4581570423822576,166,31.0,166,0.0074397665576938707,166,0.43455316908067398,228
2012,1,15,85.90821833188059,176,2.6962684241060417,176,33.5,176,0.0066418078537852495,176,0.40535079073732794,236
2012,1,16,92.09806817620013,196,2.4423167416004419,196,31.0,196,0.0064726707905582454,196,0.47684222017508748,255
2012,1,17,78.175204517934333,198,2.6329591356527482,198,34.5,198,0.0065527735861291778,198,0.5301956173274387,263
2012,1,18,80.616731477786345,242,2.4565518077144457,242,30.5,242,0.00781442749393833,242,0.37226514246489617,312
2012,1,19,82.525025313082864,264,2.4650660152032664,264,33.0,264,0.0081024034970248147,264,0.47923230576742037,334
2012,1,20,75.505791505791507,265,2.3646266420618351,265,36.0,265,0.008966695132365499,265,0.46847360654551379,338
