year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,61.301310043668124,89,11.666692286716561,89,27.0,89,0.0016781205050343615,89,3.1305807241793477,182
2012,1,1,51.910985126698492,44,12.62798425038838,44,30.0,44,0.0015124166166713259,44,3.2059897061098646,105
2012,1,2,54.220009263547936,35,10.958351021778769,35,27.0,35,0.0012296341838303104,35,3.0743137180537063,84
2012,1,3,63.105987311657415,30,6.3391806389318539,30,24.5,30,0.0021194285051223251,30,3.0872203628710793,75
2012,1,4,82.060083260145774,24,5.5913897505265737,24,30.5,24,0.0018599732789515836,24,3.168345575790724,51
2012,1,5,60.702655383717534,29,10.071425200407219,29,36.0,29,0.0025916327286190301,29,2.9991387087673438,58
2012,1,6,78.366447503595637,17,9.086291783807189,17,34.0,17,0.001632386549134835,17,3.2468619784289903,53
2012,1,7,65.492758474211726,20,12.734572868382422,20,38.5,20,0.001550832317213203,20,3.2289130061011742,62
2012,1,8,64.120870747178515,26,13.576448553708477,26,34.0,26,0.0014513192605962841,26,3.1117984288672744,100
2012,1,9,67.841563786008237,45,10.510607515000677,45,30.0,45,0.0041928721174004195,45,3.1708184050808117,113
2012,1,10,75.960493827160491,59,11.082750574311682,59,36.0,59,0.0018324607329842932,59,3.1545694195265046,153
2012,1,11,68.124024298499137,70,11.863634565065475,70,34.5,70,0.0025261619713995123,70,3.2021831379645675,184
2012,1,12,69.984664105608488,100,9.3229981729620022,100,36.0,100,0.002149813159389018,100,3.2051308979365558,194
2012,1,13,66.016523689961417,80,9.6679935372801129,80,32.5,80,0.0023928649118990647,79,3.0767499704631787,186
2012,1,14,71.339727891156457,77,11.30789048324052,77,36.0,77,0.0027214851533265295,77,3.1641671641225497,185
2012,1,15,60.968324035896188,84,7.9815862922071243,84,34.0,84,0.0027790016544623091,84,3.0886707641308124,178
2012,1,16,71.301573086531121,100,9.471959945986379,100,35.0,100,0.0028136400779075919,100,3.2800948550033242,233
2012,1,17,67.920000000000002,89,9.3286549195621973,89,28.0,89,0.0026968716289104641,89,3.1064328124262071,235
2012,1,18,81.412314175612025,114,8.8131925492179235,114,33.5,114,0.0030396246842295201,114,3.1666029731184926,263
2012,1,19,67.027668347515487,90,11.25213239856345,90,28.5,90,0.0030293297646927621,90,3.2108186795167679,233
2012,1,20,64.821850393700785,117,11.845727350592272,117,28.0,117,0.0028177225029148855,117,3.1431632981628299,268
2012,1,21,73.133670418130464,138,10.54484384490012,138,32.5,138,0.001920114526968717,138,3.1707411812778306,292
2012,1,22,69.619622769462012,126,8.7835500800271067,126,35.0,126,0.0027676825735618808,126,3.2103239719958188,235
2012,1,23,54.820758660589846,112,9.5953516248921993,112,26.0,112,0.0025152634937198608,112,3.2483334702507518,229
2012,2,0,60.570800627943484,65,13.309804177300757,65,28.0,65,0.0011878144857546606,64,3.2659313093680278,150
2012,2,1,70.904008328995317,47,11.235089361819801,47,26.0,47,0.0026588491955276791,47,2.958267899221088,108
2012,2,2,60.30406976744186,24,9.32828774377424,24,29.0,24,0.0033600418184135932,24,3.2021792174239669,85
2012,2,3,52.373315363881403,15,8.9136636710813306,15,25.0,15,0.0013404825737265416,15,3.0634002594071816,55
2012,2,4,55.172687997559635,22,16.179644891929232,22,26.0,22,0.00096625875428707508,18,3.2403658860405993,57
2012,2,5,69.151340996168585,11,4.5694509282014684,11,25.0,11,0.0013902476700478864,11,3.1217496011787613,41
2012,2,6,73.541487230749254,28,8.859767624914209,28,32.5,28,0.0026301584676262152,26,3.2048062802926416,65
2012,2,7,73.966582560505145,28,13.386101868961276,28,29.5,28,0.0022751959786224858,26,3.2034231393071098,68
2012,2,8,81.736380775851046,34,14.518089663015308,34,47.5,34,0.0018908068107366908,34,3.1453390598459707,86
2012,2,9,64.850036494773093,64,12.131544575225735,64,37.0,64,0.0019957015658581515,61,3.1812129994631619,135
2012,2,10,59.14486949259512,42,11.871993173656794,42,30.0,42,0.0013409851938969335,42,3.2066772186750403,122
2012,2,11,66.409302325581393,57,12.269804482779547,57,36.0,57,0.0021680216802168022,57,3.212543347967896,152
2012,2,12,64.93990610328639,69,12.595630121526586,69,34.0,69,0.0011791294094526874,67,3.241263002220661,164
2012,2,13,55.547703180212011,71,11.245333154174372,71,29.0,71,0.0018736401276672496,70,3.2373854543390572,170
2012,2,14,61.287783702488383,66,9.4277003859580262,66,28.0,66,0.002145005941899196,66,3.2510763375866136,166
