year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,0,50.279816513761467,35,24.489938199191155,35,28.0,35,0.0024665714656627287,35,5.8059113902534509,54
2014,11,1,49.294325945489661,42,18.156285199001019,42,30.0,42,0.0009726125544064065,42,5.7964099418037565,53
2014,11,2,45.330219560815479,16,10.160038601456677,16,30.5,16,0.0024490554263197142,16,5.1044962599913628,32
2014,11,3,43.315452683629886,22,35.88474410720498,22,31.0,22,0.00073833973829891546,22,5.8639403032684152,29
2014,11,4,49.251562499999999,21,26.642035036176622,21,31.0,21,0.0010844680081937583,21,5.5304883643413039,26
2014,11,5,49.844529750479843,29,16.567671307155916,29,30.0,29,0.00097477762885341782,29,5.7903034646331593,34
2014,11,6,51.952861952861952,37,19.224808585002126,37,32.0,37,0.0021310147892426375,37,5.6361277037424138,48
2014,11,7,43.608377918506115,38,18.421762847013962,38,30.0,38,0.0014596774683118831,38,5.7692905711387841,54
2014,11,8,48.037940379403793,55,19.185932573173414,55,30.0,55,0.0011103128469727647,55,5.7795374743764363,78
2014,11,9,43.855867876866512,34,27.342551450192552,34,29.5,34,0.0016704777159555798,34,5.642194024934625,45
2014,11,10,68.353705473457609,48,18.731339297422696,48,32.0,48,0.0017193699779788608,48,5.663188155107572,65
2014,11,11,52.109225135755146,64,25.121312165419297,64,30.0,64,0.00105862906363047,64,5.7866943790972503,77
2014,11,12,48.624742268041238,43,15.125011103988323,43,30.0,43,0.0015343233823306563,43,5.7772405484145182,66
2014,11,13,49.512964215918913,54,18.643458130040649,54,29.0,54,0.0014962370676741932,54,5.4105004168717619,73
2014,11,14,50.523467431459025,58,16.720500369023597,58,30.5,58,0.0017917316443564102,58,5.7318701299396722,79
2014,11,15,45.987057383947302,42,17.755773455034227,42,30.0,42,0.002450848446848725,42,5.7833636695168806,59
2014,11,16,53.408963585434172,73,12.41780370590924,73,30.0,73,0.0020943649727337391,73,5.6732721546253631,99
2014,11,17,52.418224299065422,83,12.275612734358111,83,31.0,83,0.0015776699029126213,83,5.4650999478124112,120
2014,11,18,54.533422459893046,79,19.761935200538876,79,32.0,79,0.0018517927269244277,79,5.768168863070553,108
2014,11,19,52.741821525358112,68,16.178525283980409,68,33.0,68,0.0021937603808770004,68,5.7775898809581099,100
2014,11,20,48.36868784288184,88,17.833494285666323,88,31.0,88,0.0011207120248757168,88,5.757146786393152,126
2014,11,21,49.046583850931675,49,19.078112557693093,49,31.0,49,0.0013080444735120995,49,5.7009123867150491,77
2014,11,22,55.380095760500026,68,9.7786750252730918,68,31.5,68,0.0017894710032345974,68,5.1066916056802691,89
2014,11,23,51.391870653728731,50,13.805911106776733,50,30.0,50,0.00125959600941987,50,5.7915654782959107,69
2014,12,0,47.969843243756287,114,19.080663202765209,114,31.0,114,0.0012409647508580721,114,5.5965794066820491,170
2014,12,1,50.496850774168522,76,16.148946850181822,76,30.0,76,0.001948588524302808,76,5.7802908375308473,120
2014,12,2,47.156285390713478,47,22.881245421556613,47,31.0,47,0.0011413066884878762,47,5.7862745957713795,79
2014,12,3,50.807376566327434,34,27.523532568187719,34,32.0,34,0.0015131318343242438,34,5.6690083333458485,55
2014,12,4,43.290275761973874,35,15.929842889098678,35,30.0,35,0.0017101325352714834,35,5.7116640711428666,50
2014,12,5,49.838171973977055,70,20.864401838147707,70,30.5,70,0.0013943491045466741,70,5.7831335183674248,95
2014,12,6,47.984577801754625,64,21.07150176177273,64,31.0,64,0.0013478394328820399,64,5.8049678290051725,88
2014,12,7,49.976831538425678,74,22.77780951110217,74,31.0,74,0.001392486552571293,74,5.7956447044565396,109
2014,12,8,47.374404344684066,82,17.318408466153251,82,32.0,82,0.00098860330474912373,82,5.7943551934022075,123
2014,12,9,46.346666666666664,99,16.129176631995129,99,30.0,99,0.00097888407215774025,99,5.7929049263483741,158
2014,12,10,55.16084261395244,108,16.281278519806573,108,31.0,108,0.0013117336296501142,108,5.8294074011858257,185
2014,12,11,53.761981625855569,120,14.576370836320468,120,30.0,120,0.0013086080954873994,120,5.1375938383936761,173
2014,12,12,44.977390180878551,107,18.930112897044442,107,30.0,107,0.0015657975355708354,107,5.7645367871223749,173
2014,12,13,52.372432458213126,124,15.353203040481844,124,31.0,124,0.0010268933955082903,124,5.7215952178746869,183
2014,12,14,47.406610299769412,149,19.203002856606084,149,30.0,149,0.0011325028312570782,149,5.80246648524645,210
2014,12,15,50.291994966852805,148,16.067465117868274,148,30.0,148,0.0013868791189904173,148,5.7646664111656696,197
2014,12,16,48.887434554973822,161,17.487940987029628,161,30.0,161,0.0014503652771809196,161,5.741495201181805,239
2014,12,17,52.521304347826089,193,16.513588418816312,193,31.0,193,0.0012534469791927801,193,5.7758714514358456,260
2014,12,18,55.31589008363202,225,15.407190371571255,225,32.0,225,0.0012634238787113076,225,5.6672530168445405,312
2014,12,19,56.134576612903224,213,17.519583604072849,213,33.0,213,0.0016185321936169137,213,5.6923026070262894,302
2014,12,20,58.584696867252646,194,14.923455003525277,194,33.0,194,0.0014643384999448658,194,5.6195837215379951,287
2014,12,21,63.237146529562985,201,15.525825698643278,201,34.0,201,0.0020651201211537139,201,5.6581196970342926,290
2014,12,22,56.486486486486484,167,13.668091994083703,167,32.0,167,0.0016444148623781371,167,5.6460456749507655,236
2014,12,23,53.002178904373068,154,18.25853795104517,154,31.0,154,0.0014091846998464733,154,5.2742054481115268,212
