year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,20,53.128518971848223,129,22.711241393361519,129,18.0,129,0.0009268377454671842,129,4.5940694697929327,197
2014,11,21,55.18258903335218,167,14.934457450856511,167,21.0,167,0.0012648739810737376,167,4.6022039998168314,244
2014,11,22,61.353041500852754,183,19.666810032807621,183,28.0,183,0.0013561620613663332,183,4.6306450089722873,289
2014,11,23,58.963541666666664,201,17.43880992193068,201,26.0,201,0.0014326647564469914,201,4.6307183166412251,318
2014,11,24,55.222696380591117,145,15.057230365874686,145,28.0,145,0.0013866588819150488,145,4.6438221763555889,249
2014,11,25,51.866353391441635,184,20.561238590458697,184,19.5,184,0.00092367948696266545,184,4.6461958950869864,276
2014,11,26,48.24783194503658,164,21.121213976428525,164,18.0,164,0.0010196842505621844,164,5.0404148692466348,255
2014,11,27,51.639947760968688,176,17.792830009891507,176,25.0,176,0.00082899986317855584,176,5.0075222546324412,272
2014,11,28,56.594005141055504,178,14.232322633262282,178,27.0,178,0.0011927914195905822,178,4.5908668812074946,292
2014,11,29,60.039479392624727,191,14.913460631733875,191,22.0,191,0.0011676396997497916,191,4.6483405564760032,289
2014,11,30,62.925278219395864,211,15.184164369254649,211,29.0,211,0.0013913298183948447,211,4.6388028079897623,318
2014,12,1,51.923090287231304,162,18.368074591798575,162,24.0,162,0.0011698621976970083,162,4.6374540340387576,241
2014,12,2,50.026188953412728,200,15.960824417240994,200,21.0,200,0.0015300881649989628,200,4.6009500908396701,284
2014,12,3,50.884772563618156,140,15.937805413203607,140,22.0,140,0.0014529368431689374,140,4.6389430163409822,224
2014,12,4,62.042708968883467,169,17.941123865417385,169,30.0,169,0.0010669511869831954,169,4.6095088473447809,261
2014,12,5,66.651733224153858,148,15.549158263096034,148,26.5,148,0.0012242774206981466,148,4.5647896300372297,243
2014,12,6,66.759726562500006,201,17.324482103393592,201,23.0,201,0.0010472157719801484,201,4.9021695273191535,311
2014,12,7,77.740720524017462,175,19.610473263829974,175,41.0,175,0.00108038029386344,175,5.0367892576859274,279
2014,12,8,56.202338015711661,160,15.955715309066893,160,28.0,160,0.0012525958057261494,160,4.7978038412824571,253
2014,12,9,58.059090553347829,198,17.374429538391933,198,28.0,198,0.0013361289032043822,198,4.8833066857896359,293
2014,12,10,51.281293090240538,173,18.2188552310385,173,19.0,173,0.0010077258985555929,173,5.3280935820147572,279
2014,12,11,53.092920959311748,174,20.13552095824388,174,20.5,174,0.0011107175453691203,174,4.8692287570474146,260
2014,12,12,57.90886075949367,191,17.460335889489176,191,22.0,191,0.00083642012187836064,191,4.6188028849922356,308
2014,12,13,53.877083363019324,228,19.310042919727398,228,20.0,228,0.0010458832320920115,228,4.6568772712941673,353
2014,12,14,56.605887689809947,202,16.453001979620296,202,22.0,202,0.0014507853016773248,202,4.6340099673872253,312
2014,12,15,57.253161995345543,153,22.462489331803994,153,24.0,153,0.0013751375137513752,153,4.5885673108212339,241
2014,12,16,59.882876244144882,168,24.746293483210515,168,23.5,168,0.0011569555755829874,168,4.6214018474845036,257
2014,12,17,60.343269230769231,171,20.515708234667098,171,26.0,171,0.00057256806649687059,171,5.7337507846198186,273
2014,12,18,58.714665249734324,201,16.8204375839222,201,26.0,201,0.0010924186148131964,201,4.6113105976449056,296
2014,12,19,60.871331506766026,166,19.33150029422665,166,25.0,166,0.0011903357566930375,166,4.6398161310010648,243
2014,12,20,54.342043539299851,170,19.650606693566111,170,24.0,170,0.00091930577619093903,170,4.6537643466869056,285
2014,12,21,54.113220338983048,237,16.241394472837271,237,27.0,237,0.0012211159120796543,237,4.6549763766859975,359
2014,12,22,57.513011335633315,167,20.148297311684544,167,32.0,167,0.00077942322681215901,167,4.6011580705119322,279
2014,12,23,50.742504323365637,192,17.428568033561689,192,27.0,192,0.00076679412272307086,192,4.6079927457010754,277
2014,12,24,60.522388059701491,253,17.016146692059138,253,37.0,253,0.00072952763085901878,253,4.606812110983717,392
2014,12,25,58.081606217616581,237,18.267649474362454,237,30.0,237,0.0012131014961585119,237,4.6035870147576912,353
2014,12,26,59.431604991303651,238,17.353857236178456,238,24.5,238,0.00099257137933033324,238,4.6449196441275156,371
2014,12,27,61.130699088145896,245,14.926393795737129,245,28.0,245,0.001153846153846154,245,4.6052672509138608,383
2014,12,28,56.562029712521706,221,16.645903486424299,221,29.0,221,0.0012322015334063528,221,4.7987812180996565,343
2014,12,29,62.726497808085725,253,18.06973072650748,253,28.0,253,0.0011768167107972932,253,4.6357854605110616,355
2014,12,30,50.584041427363879,190,18.496679401524034,190,18.0,190,0.00068386318660488285,190,5.2869024808233425,294
2014,12,31,48.949935815147626,165,16.419213066773668,165,20.0,165,0.00074261552217995549,165,4.8162278543441133,264
