year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,0,67.850920671295412,24,24.338025503068131,24,11.5,24,0.000802215433446014,24,14.631076656963128,42
2014,11,1,49.193041967498282,24,26.710435517396846,24,11.0,24,0.00055719545330232408,24,20.269621910733598,39
2014,11,2,35.092248204750504,13,21.351434242062677,13,12.0,13,0.0012221140501688175,13,16.172458815009222,21
2014,11,3,79.789718709406543,24,23.670025878633453,24,10.0,24,0.0015187873476669262,24,17.638728851077747,31
2014,11,4,27.056568602738345,8,46.498022044903102,8,12.0,8,0.0021086479794296901,8,21.984705876216186,16
2014,11,5,58.448480729663558,16,16.353898685910124,16,11.5,16,0.0039324615030036387,16,18.533919528246599,22
2014,11,6,35.14638846593072,12,23.579560173994871,12,13.0,12,0.00051966726135450577,12,20.132576620957373,14
2014,11,7,45.126405971193286,18,43.499952533129672,18,9.0,18,0.00026433977561657297,18,20.816370501203881,29
2014,11,8,60.404859273514553,35,32.574961031419122,35,10.0,35,0.00022044775388232988,35,19.699608442001797,58
2014,11,9,62.22349242554921,34,17.736371026762676,34,11.0,34,0.0013118495988061487,34,13.205640803976658,53
2014,11,10,67.615859822531732,35,17.695390268135547,35,14.0,35,0.0013093289689034371,35,11.353247720106884,60
2014,11,11,76.352927406917814,28,13.903976983393287,28,13.5,28,0.0018910760294317838,28,7.7095492899311395,54
2014,11,12,39.942151947551096,37,28.104284599164178,37,12.0,37,0.00038368077759304259,37,18.329090820869052,53
2014,11,13,54.808188517534326,40,17.855337460491267,40,15.0,40,0.00093484824695214597,40,12.656869913652562,55
2014,11,14,54.578333166463864,40,14.80071227300175,40,17.0,40,0.0014676790092190556,40,9.1331853709261015,77
2014,11,15,56.813372511559912,52,12.141890623663876,52,11.0,52,0.0012645453872168503,52,10.647128302032888,90
2014,11,16,57.335290991111975,48,15.021960691790062,48,14.0,48,0.0014101440605257145,48,12.914217105392602,75
2014,11,17,56.94813829787234,59,20.958577609677008,59,12.0,59,0.00063411540900443881,59,15.580470797170964,100
2014,11,18,70.6492972231745,41,14.994147618896454,41,17.0,41,0.00079681274900398409,41,9.0814839098958018,67
2014,11,19,68.614609571788407,63,15.74783407724993,63,15.0,63,0.0012235477322655099,63,12.119415499680168,93
2014,11,20,47.199404761904759,87,11.556910025183283,87,16.0,87,0.0025477707006369425,87,15.03439753011128,116
2014,11,21,34.229561603321841,72,12.71768100002396,72,14.0,72,0.0024923437531375282,72,10.651699933958305,104
2014,11,22,41.232635983263599,65,18.458164647398238,65,15.0,65,0.0011222796916170587,65,11.677153004915066,110
2014,11,23,80.270570276544859,44,16.808828175931708,44,15.0,44,0.0013112877822886795,44,13.585710114172681,67
2014,12,0,56.163260962111536,101,20.297941195340247,101,12.0,101,0.0014626362911089443,101,12.310738484621154,183
2014,12,1,53.585910070078803,80,24.220922331455853,80,13.0,80,0.00098074706608141131,80,14.666838025130748,142
2014,12,2,47.62156313645621,53,29.194714584927919,53,11.0,53,0.00093146006364977106,53,14.250717204502967,85
2014,12,3,61.46065003559179,42,21.851160990271431,42,13.0,42,0.0013550749109664743,42,11.90195325126821,65
2014,12,4,42.05004347406048,25,33.490353077111621,25,15.0,25,0.0012100369379696855,25,11.981113552127614,50
2014,12,5,55.18181818181818,29,16.752343438013039,29,16.0,29,0.0019617179316255597,29,11.162544885586849,52
2014,12,6,37.093035682517097,50,27.525609888513308,50,14.0,50,0.00046504513605682735,50,18.782909942636021,78
2014,12,7,46.595474452554747,47,30.678557559147364,47,12.0,47,0.00074088026621460415,47,17.498770101653889,65
2014,12,8,56.034642740122706,74,23.256978087948596,74,14.0,74,0.0010514821590742753,74,12.268991864107333,110
2014,12,9,41.974551687227745,94,28.187367135610266,94,12.0,94,0.00050201446703531727,94,18.038304629522131,140
2014,12,10,42.531339453919912,84,29.441481688737703,84,12.0,84,0.00037911886076317624,84,15.417809829374484,135
2014,12,11,49.918016496074728,103,22.589366102174925,103,12.0,103,0.0023910398926129451,103,14.80536892488794,157
2014,12,12,50.474280999621016,114,24.452273501399702,114,11.0,114,0.00080737547792949387,114,15.474720598527323,171
2014,12,13,46.668771375953696,119,18.84250685735552,119,14.0,119,0.0013957307060755337,119,13.263092346970547,195
2014,12,14,45.896209491363336,130,26.186228302558529,130,12.0,130,0.00073868403205745335,130,15.295921498248298,227
2014,12,15,38.910572445905231,119,21.324694851434675,119,13.0,119,0.0010800648038882333,119,13.656752871728951,198
2014,12,16,44.671084238210199,122,18.106215135555921,122,12.0,122,0.0010998591750499094,122,15.216031992049922,199
2014,12,17,56.379418496227856,141,17.537863657374857,141,15.0,141,0.00086217514472225639,141,12.664920046415194,214
2014,12,18,55.890473183117123,124,20.801213684284793,124,16.0,124,0.002454919477375615,124,12.964874862422946,208
2014,12,19,45.040292646188604,161,20.532885593447553,161,13.0,161,0.00076663600122661756,161,14.565416253491582,257
2014,12,20,58.232133974465263,157,18.17273458775713,157,14.0,157,0.0012131715771230502,157,13.407209683994918,228
2014,12,21,42.880822484394677,242,14.935935839976933,242,16.5,242,0.0017197152470244084,242,11.465126136341903,325
2014,12,22,42.639489739323352,203,19.461489732467832,203,14.0,203,0.0014497756299620297,203,13.325054593564211,273
2014,12,23,55.051316139324648,123,17.298180350738559,123,13.0,123,0.0011863877614736184,123,11.936389855723933,201
