year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,72.869549805033671,129,9.5964734136291359,129,41.0,129,0.0023606966282125517,129,3.093707592355913,350
2012,1,2,74.452023121387285,161,10.145295030076147,161,38.0,161,0.0020718232044198894,161,3.0565005115019757,379
2012,1,3,69.642982980084497,124,11.605593630887419,124,33.0,124,0.0019699835202840786,124,3.0760216549163037,307
2012,1,4,63.997497577583985,154,9.4002179346337371,154,30.0,154,0.0036906311273198567,154,3.0775483241576564,352
2012,1,5,70.461735681114547,123,11.681750231733719,123,30.0,123,0.00223530288354072,123,3.0364686945072039,314
2012,1,6,74.794917286810247,130,11.185755101773166,130,30.0,130,0.0027622248856385401,130,3.0920327234745995,325
2012,1,7,73.976383493971838,134,9.030724045197406,134,38.0,134,0.0023324770559735933,134,3.0669173406821919,336
2012,1,8,74.302808045787245,146,9.135398137814315,146,38.0,146,0.0022648108427815884,146,3.0375621927296548,338
2012,1,9,77.408891060087939,127,9.9203272353965151,127,40.0,127,0.0033444816053511705,127,3.1063886938316907,318
2012,1,10,71.153980752405943,157,9.8283792860083103,157,43.0,157,0.0026980623007113072,157,3.0275283047079329,359
2012,1,11,71.645848648207135,124,10.318963832628032,124,40.0,124,0.0019801473271689415,124,3.1227774521110327,305
2012,1,12,76.651220377081785,124,12.028975995722281,124,42.0,124,0.0020124145944458091,124,3.0982367146889782,284
2012,1,13,66.642538975501111,123,10.701612144421652,123,32.0,123,0.0019000570017100513,123,3.0320428193686979,303
2012,1,14,70.7603498542274,157,10.266332479790492,157,33.0,157,0.0020325203252032522,157,3.1253718975638902,349
2012,1,15,67.220936814019268,156,10.634813504600508,156,35.0,156,0.0020393399199143147,156,3.046989120005497,348
2012,1,16,71.855227882037539,143,12.015827271350382,143,36.0,143,0.0022729259550660023,143,3.1284472395604777,317
2012,1,17,71.660524900929772,134,9.695174379319063,134,42.0,134,0.0024438835068668766,134,3.0903799649780801,281
2012,1,18,69.029029287161535,144,10.99879148679927,144,40.0,144,0.0018912639385863523,144,3.0623549863447277,307
2012,1,19,61.965703971119133,117,12.06349175035921,117,30.0,117,0.0025742741390952059,117,3.0499981711846607,279
2012,1,20,70.900950905097915,150,10.105633080435908,150,38.0,150,0.0023666730107955456,150,3.1015509319396144,332
2012,1,21,74.564183501683502,139,10.960341541565441,139,38.0,139,0.0023439164713402942,139,3.1313324218160608,374
2012,1,22,70.004030998815793,144,8.7717388634543276,144,38.0,144,0.0031790314902783515,144,3.1301876231515711,333
2012,1,23,67.400296735905044,172,12.475264365684051,172,33.0,172,0.0015528003797425508,172,3.1394558381515778,352
2012,1,24,64.194809133552596,112,12.235865008550636,112,36.5,112,0.0014123792622572457,112,3.1710820453008308,263
2012,1,25,69.791147593651615,128,11.064538152460187,128,38.0,128,0.0033984474014479103,128,3.131395448204382,268
2012,1,26,59.879308780155789,140,11.790174212547775,140,34.0,140,0.0019522983947429264,140,3.1647956169259595,304
2012,1,27,72.387571438662661,114,11.892820146476131,114,40.0,114,0.0023142584268099316,114,3.1252504455962162,272
2012,1,28,81.289539227895389,149,11.258061072797846,149,40.0,149,0.002853768943121433,149,2.9955203346894912,330
2012,1,29,77.670356752938147,156,11.282128050801372,156,39.0,156,0.0025071936409632864,156,3.0677584899081771,365
2012,1,30,66.832749123685531,141,11.453286853724471,141,31.0,141,0.0022558087074216106,141,3.1136639964762742,282
2012,1,31,69.714867617107942,137,13.51973637966954,138,33.0,137,0.0021430900069516808,138,3.2138255897294989,283
2012,2,1,63.66790009250694,109,12.746189465617881,109,37.0,109,0.0016086575021936238,109,3.1384537046632959,258
2012,2,2,66.860917362801985,112,13.861500364836182,112,30.5,112,0.0020816171995909271,112,3.1271613183918334,254
2012,2,3,68.233246753246746,115,11.071875145086553,115,31.0,115,0.0027085590465872156,115,3.0508273098875236,267
2012,2,4,68.726428920371276,153,10.920311001692863,153,35.0,153,0.0020293122886133031,153,3.0364895827936067,320
2012,2,5,69.867886178861795,107,11.451019261494968,107,31.0,107,0.0015255530129672007,107,3.0887578461676135,235
2012,2,6,76.609135499693437,125,12.668964924692526,125,32.0,125,0.0018085799030601172,125,3.1298223752073207,264
2012,2,7,68.299613402061851,117,12.254657703121721,117,35.0,117,0.0025157232704402514,117,3.2326585098248115,320
2012,2,8,72.141802067946827,137,11.132131210690506,137,33.0,137,0.0021052631578947368,137,3.0801014582079249,308
2012,2,9,58.896079640549587,142,13.292108603934636,142,29.0,142,0.0020671890520097538,142,3.118746210855972,315
2012,2,10,71.393872229465444,143,11.252665434495317,143,33.0,143,0.0019157088122605363,143,3.1099737812567181,330
2012,2,11,66.092114445219821,153,10.441597446919914,153,38.0,153,0.0029719522011020989,153,3.0656929741654295,361
