year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,49.412438236029047,254,10.63869400461726,254,18.0,254,0.0017822402248997226,254,3.2121458077820062,596
2012,1,1,50.352297592997814,187,11.881619720138346,187,17.0,187,0.0014964459408903852,187,3.2517786173565857,411
2012,1,2,42.858374185071,122,15.568811714769755,122,19.0,122,0.0017762982750785311,122,3.250740150621235,301
2012,1,3,42.779408692819374,120,13.097151151223398,120,19.0,120,0.0013250321212205938,120,3.2491963719946484,285
2012,1,4,56.617686476269618,52,6.891821219781578,52,20.0,52,0.0035086281729885304,52,3.236565546261557,169
2012,1,5,52.709266342447833,60,10.350946589498472,60,19.0,60,0.00091492052843899661,60,3.2331349564844896,173
2012,1,6,45.459580291061116,64,9.419247370357887,64,19.0,64,0.0021338503848999614,64,3.2496258307788857,158
2012,1,7,51.240265120132563,75,14.867676591589852,75,22.0,75,0.0017761989342806395,75,3.2516172779471577,215
2012,1,8,47.269913818767066,112,9.5305899261290676,112,20.0,112,0.0012837550033085515,112,3.2937343636815655,255
2012,1,9,44.665745856353588,119,12.410700314186442,119,19.0,119,0.0012816600549282881,119,3.2918516940163585,304
2012,1,10,51.01717699775952,147,13.733477448085635,147,19.0,147,0.0017079419299743809,147,3.2534816336868415,360
2012,1,11,49.363888888888887,155,11.629270085917684,155,18.0,155,0.0027841781874039938,155,3.2938436323562041,417
2012,1,12,50.114814814814814,179,10.369009286617777,179,20.0,179,0.0025697503671071953,179,3.2917309604563809,477
2012,1,13,51.075507314771116,198,11.13305476405629,198,19.0,198,0.0025980588939532273,198,3.2919825129478628,471
2012,1,14,53.257552952231251,210,9.4243007995158354,210,19.0,210,0.0025676138308798357,209,3.2929241641939093,504
2012,1,15,51.305884733753317,212,9.9213830167259509,212,19.0,212,0.0018839994617144396,211,3.291738773709187,530
2012,1,16,45.697238293045494,320,12.246973205756092,320,19.0,320,0.0013342244460535781,320,3.2934738391620675,652
2012,1,17,50.305472126584135,345,11.322100954545309,345,19.0,345,0.0016358245578161742,345,3.2158927500062298,609
2012,1,18,47.331168831168831,527,7.6922765454990607,527,21.0,527,0.0030581039755351682,527,3.251518938475737,743
2012,1,19,44.817536172144585,576,7.0532588096620454,576,20.0,576,0.0032620249862839079,576,3.2527143530001785,762
