year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,19,71.150214439804344,12,6.281085048856025,12,36.0,12,0.0045859816362485593,12,0.88078885212488012,14
2014,9,20,98.65718259543624,4,7.3872084808822702,4,79.5,4,0.0067263511740593236,4,0.55544742712106066,7
2014,9,21,81.93309545049064,11,6.3147605487922078,11,34.0,11,0.0039805395842547548,11,0.99847341381526966,12
2014,9,22,60.780766484170435,3,15.426884245240464,3,34.0,3,0.0015474919957310566,3,1.5366532227764629,5
2014,9,23,53.455365933705281,9,4.6981348390076807,9,34.0,9,0.00794314381270903,9,1.8545312670296741,11
2014,10,0,55.646551724137929,111,7.9186890300917909,111,32.0,111,0.0036380172805820826,111,1.2995962437872681,139
2014,10,1,46.549407114624508,93,9.2133873771814319,93,31.0,93,0.0032770768474520728,93,1.2846677615580884,115
2014,10,2,63.691838046272494,89,6.862690589909529,89,31.0,89,0.0036281179138321997,89,1.0156620069008411,112
2014,10,3,68.902327808913952,60,6.9606316068979144,60,33.0,60,0.0024388770184193302,60,0.74579493629292426,84
2014,10,4,70.388035126234911,53,7.2927010354552504,53,33.0,53,0.0037956204379562043,53,1.1437416124547901,69
2014,10,5,49.900763358778626,47,13.043464005723006,47,32.0,47,0.002880936304298897,47,1.4014299943771804,64
2014,10,6,51.839516129032255,65,10.880719280091826,65,31.0,65,0.0020957423339951469,65,1.4652739255021252,77
2014,10,7,64.756692557137654,104,9.9541450860525735,104,32.5,104,0.0038384724385359835,104,1.5012726345193186,132
2014,10,8,53.15352697095436,95,11.297383150310704,95,31.0,95,0.0021120497999110718,95,1.1929627466879906,125
2014,10,9,57.909859280653471,126,10.131007653107607,126,32.0,126,0.0038285172335457331,126,1.1465131902418819,173
2014,10,10,64.736552000113321,186,6.2561230161731061,186,32.0,186,0.0045743627723093816,186,1.189390655677854,237
2014,10,11,62.663523198792909,159,7.4217322525468976,159,31.0,159,0.0041644173671627977,159,1.1808667796744245,220
2014,10,12,63.550128534704371,153,5.7700417266538153,153,33.0,153,0.0042194092827004216,153,1.1108858239100785,199
2014,10,13,65.932866316403974,161,7.0310640871392405,161,32.0,161,0.0042206813385589391,161,1.1662310483221843,234
2014,10,14,78.478907668892134,196,6.4962609766053365,196,34.0,196,0.0034590513219516523,196,1.017594523799878,254
2014,10,15,74.733987305251006,185,5.3748540625337551,185,34.0,185,0.0041827003513468294,185,1.0964220628082708,231
2014,10,16,72.388761990390492,208,6.3105943958723714,208,33.0,208,0.0046266593815132255,208,1.1089497478744252,279
2014,10,17,72.4625850340136,239,7.2625300400311756,239,33.0,239,0.0045057730216840324,239,1.2703530433525017,311
2014,10,18,73.477729257641926,235,6.4016180413791064,235,34.0,235,0.0042287185144328004,235,1.1801668827903744,305
2014,10,19,92.284408395655788,276,5.7911831932558702,276,46.5,276,0.0048170157188295541,276,1.146461693426104,358
2014,10,20,108.06843160647915,246,4.3983653150931366,246,71.5,246,0.0056456030922515717,246,1.1626693050165531,318
2014,10,21,114.82638362395754,297,3.4020944892271419,297,66.0,297,0.0052248394004282654,297,1.1321436531247615,376
2014,10,22,83.796180239416302,222,5.817140346064841,222,37.0,222,0.0046795524767352667,222,1.1321843069976341,276
2014,10,23,63.975255972696246,145,6.5607410868717517,145,33.0,145,0.0041951036253208944,145,1.1053788778373925,185
2014,11,0,52.457088036439842,86,8.7912096252919731,86,31.5,86,0.0024518345430867834,86,0.93010516175936575,121
2014,11,1,66.292048192771091,53,8.7739299373942909,53,31.0,53,0.0042313117066290554,53,1.1539642086598896,71
2014,11,2,71.054975495418702,47,6.3161105199818444,47,32.0,47,0.0034100596760443308,47,1.0280878695178373,69
2014,11,3,60.721052631578949,35,6.8918433713746774,35,25.0,35,0.004830917874396135,35,0.83402980548416317,49
2014,11,4,59.036664750168256,32,6.4399677306427883,32,29.0,32,0.0041016433340442231,32,1.1790513540298735,41
2014,11,5,75.015987156640534,28,5.1843441546281026,28,33.0,28,0.0049923650143826057,28,0.58186780965912366,38
2014,11,6,57.162123385939744,61,12.024302135225845,61,28.0,61,0.0027911304078151651,61,1.2735377713292437,75
2014,11,7,56.009188361408881,63,12.33109946067035,63,30.0,63,0.0025833118057349523,63,1.3907946018305051,81
2014,11,8,71.756261516334348,70,8.1758811094719004,70,32.0,70,0.0042908276919479474,70,1.4429552176251088,95
2014,11,9,66.610159118727054,69,7.3833413058842137,69,31.0,69,0.0041789577187807273,69,1.1928193406854009,88
2014,11,10,72.573046432616081,95,4.1967262324410735,95,34.0,95,0.0047641734159123393,95,1.1817541203596358,113
2014,11,11,77.524813253452308,104,2.0120777807182386,104,46.0,104,0.0097039602155856997,104,1.1468728938371342,137
2014,11,12,87.322452229299358,82,1.5478477326518019,82,50.0,82,0.012968975468975468,82,1.1487936699035493,115
2014,11,13,81.356962025316449,89,1.7591137344366539,89,49.0,89,0.019162884518406455,89,0.9914168989629264,118
2014,11,14,91.383257690368126,99,1.3941029162792176,99,60.0,99,0.024822695035460994,99,1.034513696171981,129
2014,11,15,95.69276861811008,124,1.0420503861840165,124,63.0,124,0.024124721171564348,124,1.1544512924112822,148
2014,11,16,98.389238638599252,180,0.56531834948512971,180,65.0,180,0.049084025594092709,180,1.1450127914115784,209
2014,11,17,108.51136363636364,183,0.38402271693676304,183,70.0,183,0.075812274368231042,183,1.1946953280192139,212
2014,11,18,104.74898715129066,154,0.26903574025102128,154,71.5,154,0.1069422150882825,154,1.1137922769767774,189
2014,11,19,121.6921052631579,150,0.15709119377298805,150,79.5,150,0.14945704679831512,150,0.99637018764799568,205
2014,11,20,125.67647058823529,117,0.15509084811418325,119,80.0,117,0.14545454545454545,119,0.99116817372545296,177
2014,11,21,122.22222222222223,141,0.22494526634441678,141,77.0,141,0.1152073732718894,141,0.99347034581366311,189
2014,11,22,98.282094743330106,142,0.47410122891964523,142,62.0,142,0.063437922610478564,142,1.0609656415555442,166
2014,11,23,66.00388878939583,124,3.8498545151065011,124,36.0,124,0.0094229347378011405,124,1.0940449267550516,156
2014,12,0,51.073111907316573,84,4.3593500022380258,84,30.0,84,0.0060987335802366385,84,1.3273260870034891,102
2014,12,1,59.361948200032579,51,9.2819661181121642,51,32.0,51,0.0042922641693493319,51,1.3138283985520287,71
2014,12,2,64.028593477815718,28,8.1798260570197208,28,30.0,28,0.003968745514639235,28,1.0512000967255071,42
2014,12,3,61.1181640625,25,7.2131391663808175,25,29.0,25,0.0053128689492325859,25,1.5071255246264761,33
2014,12,4,46.617777777777775,25,13.07141624467036,25,28.0,25,0.0027378507871321013,25,1.188910834030704,33
2014,12,5,74.17217652990675,28,7.7570702421912188,28,31.5,28,0.0040999072922087544,28,1.1865043129865496,37
2014,12,6,40.065248832760503,32,13.023681213329166,32,28.0,32,0.0029999416016326594,32,1.3511352366780573,45
2014,12,7,80.414291977202979,39,6.5748385154344158,39,31.0,39,0.0036846383094012464,39,1.2716529342500154,55
2014,12,8,66.138177744042224,70,9.9281423994933533,70,29.0,70,0.0036438005662922848,70,1.3203876200329934,97
