year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,122.70354770426943,134,3.7121185719592833,134,79.5,134,0.0085165392646285865,134,0.5597450416389842,238
2012,1,1,121.71712220719851,124,3.666298379684926,124,80.5,124,0.0084260769312370382,124,0.57588290716099255,216
2012,1,2,126.61889534345349,98,3.9596093751372941,98,81.0,98,0.0077191205386402915,98,0.58145232996204887,178
2012,1,3,96.796992481203006,83,3.9207199057474842,83,73.0,83,0.0070722329030486128,83,0.58397185277120256,146
2012,1,4,131.08756100436415,64,2.9315317474514999,64,81.0,64,0.0092038447854582671,64,0.55874327312162952,132
2012,1,5,115.47824563722898,66,3.2938030707951844,66,72.5,66,0.010349499748876318,66,0.57035009513936397,116
2012,1,6,121.85922782335214,64,5.0367521694823463,64,78.0,64,0.0083659147217034838,64,0.58659532410467241,120
2012,1,7,136.07292289300656,73,2.693131403361495,73,83.0,73,0.011045029736618521,73,0.51889687704787246,139
2012,1,8,119.69175340272218,69,3.4387379595486194,69,82.0,69,0.0091659028414298807,69,0.56328960925522231,135
2012,1,9,127.55910913436007,110,2.7117339600378605,110,85.5,110,0.010137728965314331,110,0.54986325455390528,206
2012,1,10,127.04892512972572,123,2.6393020314529472,123,78.0,123,0.010482180293501049,123,0.56777019798176886,206
2012,1,11,121.7421770835048,172,2.705178637495286,172,77.0,172,0.01184568120051991,172,0.56578003126541188,280
2012,1,12,121.46287155524523,182,2.3360269488545642,182,79.0,182,0.012149725168978737,182,0.56311033485673212,292
2012,1,13,118.033978291647,143,3.4822263094991017,143,77.0,143,0.0090252707581227436,143,0.56416495818836709,258
2012,1,14,121.92801946193474,179,4.1168963713591626,179,76.0,179,0.0075688372699986954,179,0.57608604581762557,293
2012,1,15,108.65136158662054,200,3.2676776472006237,200,75.0,200,0.0091169528435835027,200,0.57587596680264408,324
2012,1,16,111.87633790996236,216,3.6832922952850731,217,79.0,216,0.0099315818381211143,216,0.56329282976401651,364
2012,1,17,122.78164141910945,236,2.6353710886071444,236,82.0,236,0.0093233154313852144,236,0.56282873590649185,383
2012,1,18,123.88158941165811,230,2.7194612916244898,230,80.0,230,0.0089054580412521976,230,0.56312809079274539,386
2012,1,19,125.47257831021966,240,3.8996906669942017,240,80.0,240,0.0084986517719568555,240,0.57688577444259437,402
2012,1,20,131.77692743764175,250,3.2233077402114629,250,87.0,250,0.0092105427492908277,250,0.57199470327972268,378
2012,1,21,130.83834244080145,232,3.3645876531649166,232,82.0,232,0.0098403362709507496,232,0.56349679096118233,389
2012,1,22,151.84676196653476,200,2.2254159069965569,200,86.0,200,0.0099045408388842744,200,0.56340425515611592,366
2012,1,23,142.07960947778557,180,2.539352390004999,180,81.0,180,0.010356980418298075,180,0.56082370187030861,305
2012,2,0,143.77049448065497,184,2.9848579495468202,184,81.0,184,0.009199831293140906,184,0.55629955807831266,285
2012,2,1,124.94872925604167,126,3.9072795255811403,126,79.5,126,0.0088620375944560917,126,0.56293189039186342,205
2012,2,2,118.54432201602111,88,5.0380519075657393,88,71.5,88,0.0088810668638039138,88,0.57301476533940088,170
2012,2,3,121.20672322167047,86,3.7069817717144691,86,84.0,86,0.0094516385073069517,86,0.59184219504693858,124
2012,2,4,140.76436781609195,43,3.6116031348164799,43,87.0,43,0.011482254697286013,43,0.58174889442077515,92
2012,2,5,120.093032957864,79,4.4157591855508462,79,83.0,79,0.011249744323992637,79,0.58520269721873686,140
2012,2,6,123.54266958424508,63,2.4270088056354329,63,84.0,63,0.012704174228675136,63,0.56296118131136552,103
2012,2,7,126.80284348808242,84,3.5820356617057794,84,85.0,84,0.011243700206622961,84,0.60044188568358781,129
2012,2,8,127.62938648842206,102,3.7349835168772332,102,82.0,102,0.0084662632212580639,102,0.57101896216965919,163
2012,2,9,129.54688999065357,124,3.2158213077457285,124,81.0,124,0.010621261516509068,124,0.56323869122929149,227
2012,2,10,121.83083015930958,128,4.1285768102506193,128,80.0,128,0.0096358043726464775,128,0.58572729921634181,199
2012,2,11,113.00790936297562,159,4.8313085333269221,159,74.0,159,0.0098743267504488325,159,0.58533609737477432,253
2012,2,12,127.16324886343244,156,3.6581309312268706,156,80.0,156,0.0098881514545795836,156,0.56333781264248872,243
2012,2,13,123.95461860315417,179,4.1846138730206146,179,75.0,179,0.0091590341382181521,179,0.58843746902309757,296
2012,2,14,132.42375425182428,164,3.0569245797491313,164,82.0,164,0.0086467354125899995,164,0.56331180773511536,274
2012,2,15,137.76137739894861,184,3.6706438730609219,184,82.0,184,0.0093658170936305914,184,0.57865723148688475,291
2012,2,16,123.01513944223107,195,4.0976545188181301,195,81.0,195,0.0099872503187420306,195,0.55606650804862223,350
2012,2,17,121.62363183786195,226,2.8164629149885174,226,81.0,226,0.010517575422086908,225,0.57559475289450435,383
2012,2,18,125.76630823135474,228,4.6002457936673631,228,81.0,228,0.0094530323071034227,228,0.57443615343419485,379
2012,2,19,129.55786487495334,246,3.7714187668371348,246,83.0,246,0.0088817444358434174,246,0.56454388245518328,387
2012,2,20,134.17081465227039,252,3.6397858191606156,252,84.0,252,0.0093385370064333582,252,0.58286580957650924,414
2012,2,21,144.82257648953299,258,2.8904007549810711,258,87.0,258,0.009635418201733352,256,0.55243702173506004,429
2012,2,22,124.29995203557685,242,3.4226083423749105,242,80.0,242,0.0086446677235665886,242,0.56706311907529783,407
2012,2,23,132.9124700239808,215,3.5103392067481636,215,81.0,215,0.0098724804607157549,215,0.57408996271916668,344
2012,3,0,113.75820336126458,194,3.8033172272802567,195,81.0,194,0.0092712376024148332,195,0.58009642292586161,316
2012,3,1,126.19071000274361,144,2.2171463714667325,144,83.0,144,0.0093476521916489794,144,0.54485768584170069,213
2012,3,2,128.56978849952586,98,2.9537067098033409,98,82.0,98,0.0089054229822266052,98,0.55993017902829001,165
2012,3,3,131.0138430101249,68,2.4476356707023319,68,81.0,68,0.0095540353844344086,68,0.58718641797588345,123
2012,3,4,135.14008620689654,73,2.0895813799495091,73,86.0,73,0.013096351730589336,73,0.56339056481500027,127
2012,3,5,127.59065601549261,53,4.8397218789323819,53,77.0,53,0.014014014014014014,53,0.61171599107716712,98
2012,3,6,133.84420641772789,66,4.0201111093466189,66,84.5,66,0.011780816293011415,66,0.58094553466830023,129
2012,3,7,124.0414847161572,93,3.400985399198845,93,80.0,93,0.011649294911097487,93,0.55850425554154459,147
2012,3,8,131.64437869822484,71,2.295410889460054,71,83.0,71,0.0079564489112227809,71,0.58484157503428413,127
2012,3,9,126.50883960141434,129,3.5395850498756087,129,81.0,129,0.0086941401495392104,129,0.57378955182126334,211
2012,3,10,128.54320993438199,136,3.4123541715178991,136,82.0,136,0.0098989390325489382,136,0.58849182737097294,227
2012,3,11,119.89072029725116,152,4.7325888457481984,152,79.0,152,0.0089195219558348623,152,0.58243320153807376,242
2012,3,12,131.02028051225909,162,2.0815760865307742,162,86.5,162,0.013258003766478343,162,0.56753999608144035,269
2012,3,13,125.11780958241891,162,2.4599143473458862,162,82.0,162,0.011306532663316583,161,0.57365433759411855,255
2012,3,14,122.44835164835165,169,3.7601251658724242,169,82.0,169,0.0089126559714795012,169,0.56306223521015675,282
2012,3,15,130.95303867403314,193,2.9481141133430606,193,81.0,193,0.0096277278562259313,193,0.56887558917510983,318
2012,3,16,121.16390673328576,202,3.0539717090895007,202,82.0,202,0.0094989395006032512,202,0.58854407999585401,341
2012,3,17,132.71361900721257,259,2.87365989204612,259,84.0,259,0.010476306492873675,259,0.57780834396595881,417
2012,3,18,139.67773341220547,248,2.3741887637058481,248,85.0,248,0.010723420479879685,248,0.58063810283661743,405
2012,3,19,121.95892071805338,280,3.9266848368208951,280,80.0,280,0.0084746714016876237,280,0.56516928128189803,448
2012,3,20,127.48282760920307,269,2.4408684571875567,269,88.0,269,0.010370592389561638,268,0.56296988276365489,432
2012,3,21,145.06358609794628,247,2.7417793535130386,247,88.0,247,0.010328638497652582,247,0.54594314051805015,416
2012,3,22,134.07365650042905,236,3.0306474886761823,236,84.0,236,0.009750791175916762,236,0.5678360629626189,394
2012,3,23,130.29049676025917,199,2.6339477421686932,199,83.0,199,0.0099367660343270096,199,0.58001443723521873,352
2012,4,0,133.60207867858281,154,2.7265273749195202,154,80.5,154,0.010599335978090513,154,0.55144853865108023,258
2012,4,1,121.6532862814292,113,4.4510604163766896,113,80.0,113,0.009318001586042823,113,0.58512794948801716,208
2012,4,2,116.88804201454349,112,3.8278458737388479,112,80.5,112,0.0091057487444366481,112,0.56969703086129597,181
2012,4,3,149.39952153110048,62,3.3241530640483288,62,86.5,62,0.014662027381325627,62,0.5626269258582054,139
2012,4,4,137.93790149892934,63,2.073137258087975,63,86.0,63,0.006163886874546773,63,0.56114533533104449,127
2012,4,5,139.8169403714565,68,2.6244728451069603,68,88.0,68,0.0098062932475093262,68,0.5742725187418759,112
2012,4,6,141.60620083294771,71,4.2176765782056309,71,78.0,71,0.0096350963509635092,71,0.58321060022156257,119
2012,4,7,119.64476706257017,74,4.974712759037681,74,86.5,74,0.0097208934245183835,74,0.60272124004695882,117
2012,4,8,121.22412529980281,106,3.7506460187275836,106,80.0,106,0.0073653747382560943,106,0.56852320507646892,177
2012,4,9,131.08015046296296,129,2.1925913482955885,129,85.0,129,0.013257575757575758,129,0.58069937871331634,197
2012,4,10,120.72452504317789,113,4.4159008508463851,113,80.0,113,0.0082236842105263153,113,0.59565701767324508,191
2012,4,11,127.79645270270271,137,4.1003888137090927,137,81.0,137,0.010939510939510939,137,0.58368320267500162,230
2012,4,12,128.10816326530613,153,3.2193212417409045,153,77.0,153,0.011025358324145534,153,0.57367321040273411,247
2012,4,13,127.47336884154461,157,2.8681053086312116,157,82.0,157,0.0089676746611053182,157,0.58173262575985141,271
2012,4,14,118.37192707729189,162,3.3356169293042885,162,80.0,162,0.010219340456784781,162,0.56536673059126497,249
2012,4,15,128.38510911424905,193,3.1730433800405442,193,82.0,193,0.0095513748191027488,193,0.56305166038890564,310
2012,4,16,121.66786570743405,223,2.7360728793834879,223,82.0,223,0.010051993067590987,223,0.56177039973744824,356
2012,4,17,120.383050113911,198,3.5338605900790294,198,82.0,198,0.0093947122883996717,198,0.56273648821148858,339
2012,4,18,131.0564454614798,251,3.2671295886661311,251,82.0,251,0.0092200348866184906,251,0.58485134344075906,378
2012,4,19,142.47316731903439,228,2.9139529909376547,229,85.0,228,0.010223818734457032,229,0.56135793149054003,404
2012,4,20,121.47103918228279,291,3.5860598217881905,291,81.0,291,0.0087353583482231486,291,0.57177891542282122,454
2012,4,21,121.79912523328831,264,3.7826622434334709,264,81.0,264,0.0092066886356246096,264,0.56904413723111158,421
2012,4,22,131.72792362768496,253,2.9237412576347355,253,82.0,253,0.0096548890714872639,253,0.56559307861252117,376
2012,4,23,124.20498614958449,193,3.1143109381031802,193,82.0,193,0.009557945041816009,193,0.56514581945681619,327
2012,5,0,127.72129538763494,117,3.5748313065746324,117,81.0,117,0.0093710953769262813,117,0.56840603718019511,219
2012,5,1,124.00022214869121,72,3.1849588083537048,72,81.0,72,0.0082143124555609966,72,0.59902817880056292,140
